t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma,input_sigma_diff,object_gui_cylinder_x,object_gui_cylinder_y,object_gui_cylinder_z
0.0,26.0,8.745534874256394e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.13
0.002,19.0,1.2156023806945917e+18,0.001724368618518695,0.0,0.0,-0.0013217626677498285,0.0,0.0,-0.00020130297538443356,0.0,0.0,-0.00365424603043044,0.0,0.0,0.017890109328121937,0.0,0.0,-0.007117931648845747,0.0,0.0,-0.003646744362456783,0.0,0.0,0.01748478614049043,0.0,0.0,-0.006919020889016824,0.0,0.0,0.0016131825313419315,0.0,0.0,-0.0012365363407015365,0.0,0.0,-0.000188323095320198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.13
0.004,18.0,1.2156493168921551e+18,0.00612446038340772,0.0033495308339500764,1.9501946585176577e-05,-0.00469431766826411,0.0013024378881797834,3.149040667115535e-05,-0.0007148496462293573,0.0012767726409411615,1.7736907395907142e-05,-0.008449481492426462,0.003283526506398717,8.325327044194989e-05,0.04186252463254178,0.0012614562347336526,-0.0001995438371206594,-0.01670518694322754,0.0017795805519254507,0.00010677014640925439,-0.00843293289636446,0.003244136701078288,8.269057276242085e-05,0.0409232824270285,0.001744512948886014,-0.000188883278299253,-0.016243878374382452,0.0017235854414327683,0.0001037112759653951,0.0058643490538249415,0.0017275799793750716,1.3727693763976814e-06,-0.0044948429941364535,0.003211928775964732,5.338158139999522e-05,-0.0006842524859841713,0.0031486359718347874,4.0043508805859827e-05,4.074974118467051e-09,0.0016935370759110751,2.0322444910932904e-05,9.329905149368891e-09,0.0016732210846763249,2.00786530161159e-05,4.5992721119997957e-07,0.0031108643388926497,3.7330372066711794e-05,0.075,0.0,0.075,0.145,0.13
0.006,18.0,1.215643023947881e+18,0.012461523996616252,0.006699061667900153,6.895215413909199e-06,-0.009550780138183428,0.002604875776359567,8.759032133548412e-05,-0.0014542165359498508,0.002553545281882323,3.922073913734017e-05,-0.012333033473261357,0.006567053012797434,0.00018019841406268674,0.06235245722600273,0.0025229124694673053,-0.0004720753459568937,-0.02500266834367327,0.0035591611038509013,0.00024317217656494132,-0.012310380910533976,0.006488273402156576,0.00017905447558225245,0.0606383853845334,0.003489025897772028,-0.00044921107835107767,-0.02415715940676242,0.0034471708828655366,0.00023629259108697587,0.012194872034954719,0.0034551599587501433,-2.891026914089758e-05,-0.009345917716706538,0.006423857551929464,0.000131024406552791,-0.0014219282988794243,0.006297271943669575,8.377829315584496e-05,2.037970838005642e-08,0.0033870741518221502,4.064484092217638e-05,4.6669144397713705e-08,0.0033464421693526498,4.015719407337001e-05,2.2995548386989223e-06,0.006221728677785299,7.46552250068892e-05,0.15,0.0,0.075,0.145,0.13
0.008,16.0,1.17167316619288e+18,0.022040722774000095,0.010048592501850228,-2.895517793719228e-05,-0.016890562885041868,0.00390731366453935,0.00016149712563267335,-0.0025717079298804082,0.0038303179228234845,6.341441350528002e-05,-0.015478294318550495,0.00985057951919615,0.0002662033559094901,0.08002514310361264,0.0037843687042009577,-0.0007028170622616213,-0.03225308109025937,0.005338741655776352,0.00036409691999339544,-0.015451448672500763,0.009732410103234864,0.0002645134921652261,0.07722369969916162,0.005233538846658042,-0.0006648581584545043,-0.030866383399057173,0.005170756324298305,0.0003519349887727287,0.020579649689719016,0.005182739938125214,-8.414558516195405e-05,-0.015769327645654793,0.009635786327894195,0.00022778044853520883,-0.0023978864413062477,0.009445907915504361,0.00013041403457260544,5.70883400215796e-08,0.005080611227733225,6.0967090176298145e-05,1.3077561488350844e-07,0.005019663254028975,6.0235399018614925e-05,6.438331233751177e-06,0.009332593016677949,0.00011196352154207102,0.22499999999999998,0.0,0.075,0.145,0.13
0.01,16.0,1.1716728370140608e+18,0.03218583113857166,0.013398123335800306,-0.00010371119325839748,-0.02466083414886049,0.005209751552719134,0.00026520377325313203,-0.0037549653589818706,0.005107090563764646,9.214558192374065e-05,-0.01802566436221294,0.013134106025594868,0.00034334880412974434,0.09527557084771662,0.005045824938934611,-0.0008997518179761363,-0.03858085324891125,0.007118322207701803,0.0004724568395755341,-0.01799579319560142,0.012976546804313153,0.000341135945721767,0.09117739405439046,0.006978051795544056,-0.0008429477748434108,-0.036548095734950915,0.006894341765731073,0.000453128701977459,0.028566060473055974,0.0069103199175002865,-0.00016403195726662478,-0.021883589911957387,0.012847715103858928,0.0003434045129941647,-0.0033253559393607774,0.01259454388733915,0.00017990916394374477,1.224137090102462e-07,0.0067741483036443005,8.128909458365135e-05,2.805641180516102e-07,0.0066928843387052996,8.0313042757085e-05,1.3795055116715119e-05,0.012443457355570599,0.00014924422829204218,0.3,0.0,0.075,0.145,0.13
0.012,15.0,1.1493901919359891e+18,0.040398148984176874,0.01674765416975038,-0.00018525812362585534,-0.03094472047134751,0.006512189440898916,0.0003740762830771129,-0.004712347355207358,0.006383863204705807,0.00012166594276425213,-0.02008883810197453,0.016417632531993583,0.0004133195627304783,0.10844160909913451,0.006307281173668263,-0.0010676194760885804,-0.04409550128927454,0.008897902759627253,0.000569745072102462,-0.020056721832000052,0.01622068350539144,0.00041059772041191427,0.10291833336727407,0.008722564744430068,-0.0009894579517195248,-0.041352699480807026,0.00861792720716384,0.0005419922753053771,0.03502867429554448,0.008637899896875358,-0.0002391379269141674,-0.02682450484378554,0.016059643879823657,0.00045531880550137255,-0.004072491479309223,0.015743179859173936,0.0002288224295824166,2.2462671029499124e-07,0.008467685379555374,0.00010161075559015637,5.151847188090404e-07,0.008366105423381624,0.00010038989831116287,2.5287550984288864e-05,0.015554321694463247,0.00018648631967215838,0.37499999999999994,0.0,0.075,0.145,0.13
0.014,15.0,1.1493902474139186e+18,0.047044860688827295,0.020097185003700457,-0.000243611567765717,-0.03602222304376805,0.0078146273290787,0.00046511217360511455,-0.005486741384224008,0.007660635845646969,0.00014847579841025194,-0.021759887039596016,0.0197011590383923,0.00047747996568440196,0.11981255937565344,0.0075687374084019154,-0.0012104744602887913,-0.048893329982166986,0.010677483311552704,0.0006572758152099269,-0.021726027162912873,0.019464820206469727,0.0004742585044616373,0.11279821158449505,0.010467077693316083,-0.0011094150680874958,-0.04540805529631399,0.01034151264859661,0.0006203305455528437,0.04025741907422152,0.010365479876250428,-0.0002959583330315286,-0.03081291617609607,0.01927157265578839,0.0005531529299948872,-0.004672639370644417,0.018891815831008723,0.00027557168772381535,3.720756472745474e-07,0.01016122245546645,0.00012193197394507386,8.541009764429036e-07,0.01003932650805795,0.00012046573588006968,4.183234482383471e-05,0.018665186033355898,0.00022367878178845932,0.44999999999999996,0.0,0.075,0.145,0.13
0.016,15.0,1.1493902991451908e+18,0.052423521507268075,0.023446715837650532,-0.00028317773821412114,-0.04012022938854962,0.009117065217258483,0.0005416714591323184,-0.0061128385139945715,0.00893740848658813,0.00017308979844974566,-0.023113373395205958,0.022984685544791016,0.0005369348710126445,0.12963640472599217,0.008830193643135567,-0.0013317883887902144,-0.05305896899620815,0.012457063863478153,0.0007362047261477417,-0.02307807104076995,0.022708956907548015,0.0005332198088455306,0.12111241119918016,0.012211590642202095,-0.0012070394513075155,-0.04882282743225354,0.012065098090029376,0.0006896778406361204,0.04448704819571754,0.012093059855625499,-0.0003379723106231523,-0.034027577942102934,0.02248350143175312,0.0006395570112941902,-0.005152652606768365,0.02204045180284351,0.0003205570940818551,5.732055869572394e-07,0.011854759531377523,0.00014225264946876297,1.3171679960786413e-06,0.011712547592734273,0.00014054032190109398,6.43443402574975e-05,0.021776050372248546,0.00026081061632909653,0.5249999999999999,0.0,0.075,0.145,0.13
0.018000000000000002,15.0,1.1493903453770504e+18,0.056775304215644196,0.02679624667160061,-0.0003075272980280096,-0.043422608535385786,0.010419503105438268,0.0006064767899278547,-0.006618697512278661,0.010214181127529292,0.00019592423569828637,-0.024209680530749563,0.026268212051189736,0.0005925790253567483,0.1381258993801613,0.010091649877869221,-0.0014345370581774755,-0.056666725371109096,0.014236644415403605,0.000807547360939341,-0.02417309395266016,0.025953093608626306,0.0005883739757927551,0.1281091126749441,0.013956103591088112,-0.0012858756912971048,-0.05168934828206342,0.013788683531462146,0.0007513381315645883,0.04790764204726721,0.013820639835000573,-0.00036799690032860365,-0.0366131615674939,0.025695430207717855,0.0007166760977978494,-0.005534129053493849,0.0251890877746783,0.00036410088457736,8.365777172744661e-07,0.013548296607288601,0.00016257268082041972,1.9247102495382816e-06,0.013385768677410599,0.00016061341811297427,9.373649523867734e-05,0.024886914711141198,0.00029787084445060443,0.6,0.0,0.075,0.145,0.13
