t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma_close,input_sigma_adapt,object_scanned_mug_x,object_scanned_mug_y,object_scanned_mug_z
0.02,5.0,0.0019820526581279256,-0.0011264152317368224,0.022139557439898427,0.00013864849953349682,0.0010613683102089287,0.021703285414487072,0.00012475951706615023,7.383585022859891e-05,0.01742459000403981,0.00010419460055267923,1.5735011639743428e-06,0.022139557439898427,0.00013283058978537507,1.416976136277668e-05,0.02144292869568964,0.0001285967163291972,4.3033030274123275e-05,0.02144292869568964,0.0001284727338778284,5.551745810075346e-06,0.021703285414487072,0.0001301958697757997,7.456923696258849e-06,0.017081228977349858,0.00010245535066700713,3.355953729140542e-05,0.016876319322215252,0.00010111376831718214,0.5760000000000001,0.0,0.04498014352030735,0.12499982980632195,0.07853208926407208
0.022,5.0,0.0,-0.0012843573117841806,0.024599508266553806,0.0001543555409897438,0.0012139272946966432,0.0241147615716523,0.00013832035956866024,9.101210897611608e-05,0.019360655560044234,0.0001157209182588938,2.1266430899740744e-06,0.024599508266553806,0.000147587608592339,1.914144796019301e-05,0.02382547632854404,0.0001428678394030876,5.81242623395058e-05,0.02382547632854404,0.0001426946597896195,7.499931330707182e-06,0.0241147615716523,0.00014465525895505335,1.0074214199644196e-05,0.018979143308166507,0.00011383011830682149,4.532834137002903e-05,0.0187514659135725,0.00011230743825768658,0.64,0.0,0.044977468013844245,0.12499971151177676,0.07853676286948869
0.024,5.0,0.0,-0.0014420403140004072,0.027059459093209184,0.0001700628984299602,0.001367540408238348,0.02652623772881753,0.00015187386260472532,0.00011056870393483904,0.021296721116048654,0.00012723425404243522,2.7965336781259456e-06,0.027059459093209184,0.00016234399470071526,2.515709777553691e-05,0.026208023961398444,0.0001571332950806295,7.638006418964813e-05,0.026208023961398444,0.00015689939819435363,9.857352087348589e-06,0.02652623772881753,0.00015911242678492093,1.3241604741281053e-05,0.020877057638983156,0.0001252019005487011,5.956491710201015e-05,0.02062661250492975,0.00012348770498135832,0.704,0.0,0.04497479394839071,0.12499959653362314,0.07854143547967453
0.026000000000000002,5.0,0.0,-0.0015994336934164895,0.02951940991986457,0.00018576870140318987,0.001522298972570033,0.028937713885982763,0.0001654210408664665,0.000132732356621639,0.02323278667205308,0.00013873330780870944,3.594533215230971e-06,0.02951940991986457,0.00017709968031711867,3.2316098331336245e-05,0.02859057159425285,0.0001713924869788639,9.809994303727033e-05,0.02859057159425285,0.00017108514918037922,1.2663030562763692e-05,0.028937713885982763,0.0001735671392033725,1.70116777616706e-05,0.022774971969799808,0.00013657038219035115,7.650278361093395e-05,0.022501759096287002,0.00013465316507510995,0.768,0.0,0.044972118306548285,0.12499948080069238,0.0785461060526595
0.028,5.0,0.0,-0.0017565070467413068,0.03197936074651995,0.00020147276663961863,0.0016782944541893889,0.03134919004314799,0.00017896134642346776,0.0001577294129569376,0.025168852228057505,0.0001502167192286152,4.532069495344871e-06,0.03197936074651995,0.0001918545972798283,4.071782649282922e-05,0.030973119227107257,0.00018564481877265552,0.00012358288052160125,0.030973119227107257,0.00018525011570441993,1.5956002603125138e-05,0.03134919004314799,0.00018801916207551137,2.1437069215102154e-05,0.02467288630061646,0.00014793524773712874,9.637503890210492e-05,0.02437690568764425,0.0001458024174241999,0.8320000000000001,0.0,0.04496944266470586,0.12499936506776163,0.07855077662564448
0.03,5.0,0.0,-0.0019132299107568979,0.03443931157317533,0.00021717491171949983,0.0018356182796490015,0.03376066620031322,0.00019249423047674297,0.0001857858008356853,0.027104917784061926,0.00016168313022662994,5.620643931631729e-06,0.03443931157317533,0.00020660867702207992,5.046164743152368e-05,0.03335566685996166,0.000199889694200813,0.00015312728528400822,0.03335566685996166,0.0001993925038766403,1.9775318638309165e-05,0.03376066620031322,0.00020246826118626058,2.657047333429473e-05,0.02657080063143311,0.00015929618137330804,0.00011941432187379406,0.0262520522790015,0.00015693406344059638,0.896,0.0,0.04496676702286343,0.12499924933483088,0.07855544719862946
0.032,5.0,0.0,-0.002069571758142794,0.036899262399830705,0.00023287495386352562,0.0019943618336802902,0.03617214235747845,0.00020601914446697668,0.0002171269950570226,0.02904098334006635,0.00017313118523538398,6.871837661491624e-06,0.036899262399830705,0.00022136185053539442,6.164691357073608e-05,0.03573821449281606,0.00021412651707230723,0.0001870309456383926,0.03573821449281606,0.00021351052324519233,2.416004490363309e-05,0.03617214235747845,0.00021691420223304082,3.2464647368302695e-05,0.028468714962249758,0.00017065286693349277,0.00014585277440714938,0.02812719887035875,0.00016804670729090974,0.96,0.0,0.044964091381021004,0.12499913360190013,0.07856011777161444
0.034,5.0,0.0,-0.0022255019933078313,0.03935921322648609,0.0002485727099077733,0.0021546164573081417,0.03858361851464368,0.00021953554008578036,0.0002519779823276676,0.030977048896070773,0.00018455953140608251,8.297317644378776e-06,0.03935921322648609,0.00023611404833294759,7.43729635115668e-05,0.03812076212567047,0.00022835469127259838,0.0002255909823445215,0.03812076212567047,0.00022760238708019248,2.9149264663155342e-05,0.03858361851464368,0.0002313567508184403,3.9172416291390245e-05,0.03036662929306641,0.00018200498787418863,0.0001759220035415503,0.030002345461716002,0.00017913895612385312,1.024,0.0,0.04496141573917858,0.12499901786896937,0.07856478834459941
0.036000000000000004,5.0,0.0,-0.002380989948229904,0.041819164053141476,0.0002642679962786958,0.0023164734459552284,0.04099509467180892,0.00023304286928700467,0.00029056322634501963,0.0329131144520752,0.00019596681881848516,9.908842751727054e-06,0.041819164053141476,0.00025086520041298256,8.873912093777376e-05,0.040503309758524876,0.00024257362077007987,0.00026910380149244763,0.040503309758524876,0.00024166631265708214,3.478207943465681e-05,0.04099509467180892,0.00024579567244287454,4.674667748058715e-05,0.03226454362388306,0.00019335222724555006,0.00020985304374216993,0.031877492053073254,0.00019020942029719022,1.088,0.0,0.04495874009733615,0.12499890213603862,0.07856945891758439
0.038,5.0,0.0,-0.0025360048783041084,0.044279114879796855,0.00027996062896816054,0.002480024047535001,0.043406570828974145,0.0002465405842981135,0.0003331066329659556,0.03484918000807962,0.00020735170069040762,1.1718269848400034e-05,0.044279114879796855,0.00026561523622227077,0.00010484469349801374,0.04288585739137928,0.00025678270962264905,0.00031786504750614997,0.04288585739137928,0.000255700521539321,4.109761021642078e-05,0.043406570828974145,0.00026023073249723693,5.5240405359646206e-05,0.034162457954699715,0.00020469426766331477,0.0002478763192664938,0.033752638644430503,0.00020125671360413,1.1520000000000001,0.0,0.04495606445549372,0.12499878640310787,0.07857412949056937
0.04,6.0,0.0,-0.002690515958199739,0.04673906570645223,0.0002956504235085381,0.0026453594605323548,0.04581804698613937,0.00026002813763162624,0.00037983151546727825,0.036785245564084045,0.00021871283358670853,1.3737559865083177e-05,0.04673906570645223,0.000280364084619623,0.00012278897166392679,0.045268405024233675,0.00027098136198441396,0.00037216955627450676,0.045268405024233675,0.0002697032398603651,4.813499871592719e-05,0.04581804698613937,0.0002746616962555377,6.470665600713181e-05,0.03606037228551636,0.0002160307912809403,0.00029022160663652385,0.03562778523578775,0.00021227945349912755,1.216,0.0,0.044953388813651296,0.12499867067017711,0.07857880006355435
0.042,5.0,0.0,-0.0028444922777265875,0.04919901653310761,0.0003113371949478441,0.0028125708320709624,0.0482295231433046,0.0002735049820966335,0.0004309605599037633,0.03872131112008847,0.00023004887762772714,1.5978783861036052e-05,0.04919901653310761,0.0002951116738394552,0.00014267122756254748,0.04765095265708808,0.0002851689821125449,0.0004323113084176905,0.04765095265708808,0.00028367269860488147,5.593340858057513e-05,0.0482295231433046,0.00028908832886753206,7.519857172637847e-05,0.03795828661633301,0.00022736147976195527,0.00033711799722337983,0.037502931827145,0.00022327626132305085,1.28,0.0,0.04495071317180887,0.12499855493724636,0.07858347063653932
0.044,5.0,0.0,-0.002997902837710999,0.051658967359763,0.00032702075782493754,0.0029817492559662865,0.050640999300469836,0.00028697057081039325,0.00048671579056973243,0.04065737667609289,0.00024135849669713479,1.845412907662298e-05,0.051658967359763,0.00030985793145541174,0.00016459071378153423,0.05003350028994249,0.00029934497437427966,0.0004985833826970495,0.05003350028994249,0.00029760713388914876,6.453202663054588e-05,0.050640999300469836,0.0003035103953513356,8.676938557506817e-05,0.039856200947149666,0.0002386860142525397,0.00038879385995098696,0.03937807841850225,0.00023424576252767325,1.344,0.0,0.04494803752996644,0.12499843920431561,0.0785881412095243
