t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma,input_sigma_diff,object_horizontal_cylinder_radius4x_x,object_horizontal_cylinder_radius4x_y,object_horizontal_cylinder_radius4x_z
0.02,64.0,37537.55063778031,-0.015684921498132113,0.03014577750555069,0.00022504525429420098,0.053056770363236375,0.01172194099361805,-0.00018338318633678155,-0.02798588348225979,0.011490953768470456,0.00021206346563243823,0.05029122200739122,0.029551738557588456,-9.403215430615864e-05,-0.0048532705521671365,0.011353106112602875,7.278688139408316e-05,-0.003988250969343012,0.016016224967329056,0.0001248044440661172,0.04852452634988112,0.029197230309704596,-8.878658285904331e-05,-0.0015867623123508776,0.015700616539974125,8.339202203849343e-05,-0.0051752464893121694,0.015512268972894915,0.00013124444374673858,-0.016441565061555162,0.015548219814375645,0.00013993659604300823,0.05390189209120884,0.028907358983682588,-8.290327374102617e-05,-0.01794440862250067,0.02833772374651309,0.0002607980924596594,5.830640431733818e-07,0.015241833683199677,9.144850029064139e-05,1.3391596895931052e-06,0.015058989762086927,9.034819654569703e-05,6.549967867006985e-05,0.02799777905003385,0.00016770533185580058,0.675,0.0,0.07500468984282542,0.16263499124058126,0.07404600470375187
0.022,64.0,37939.336620119524,-0.027948597418337124,0.03349530833950076,0.00029508137902579723,0.06644933446639187,0.013024378881797832,-0.00024019434888863125,-0.03262622774114549,0.012767726409411614,0.00024452165935002845,0.05362802085722018,0.032835265063987165,-0.00010473574166042435,-0.010281506112272281,0.012614562347336525,0.00010480699739702197,-0.002087462006995496,0.017795805519254505,0.0001307043389315851,0.05046961986556383,0.03244136701078288,-9.649895603458945e-05,-0.004909007939917769,0.017445129488860137,0.00011419135080726608,-0.0030647263522148266,0.01723585441432768,0.0001344666054218391,-0.0293246617405698,0.017275799793750716,0.0002023041891318353,0.06777101460547075,0.032119287759647314,-0.00013069562598936915,-0.020939926895638134,0.03148635971834787,0.0002965846100450913,7.884636905529661e-07,0.016935370759110748,0.00010160872617040546,1.8123449346148127e-06,0.016732210846763247,0.00010038523012244192,8.846833550460169e-05,0.031108643388926494,0.00018625886226153856,0.7499999999999999,0.0,0.07501416112719113,0.16226421418057813,0.0736982412032606
0.024,64.0,38402.703070539406,-0.04522176301892042,0.03684483917345084,0.00038876061955072776,0.08252555859972759,0.014326816769977617,-0.0003127351061784855,-0.0368464343333321,0.014044499050352776,0.0002800243607489896,0.05340788511281984,0.03611879157038589,-0.00010505537572100577,-0.01486212046426666,0.013876018582070179,0.00014494514816605476,0.0003325995914564162,0.019575386071179958,0.00012997708846905273,0.051194387445395034,0.03568550371186117,-8.870469692221598e-05,-0.011402877866706039,0.01918964243774615,0.00014459190226598354,0.000707088650638643,0.01895943985576045,0.00013214499724785165,-0.04611756689475264,0.019003379773125786,0.00028996824908217355,0.08359393300103263,0.035331216535612046,-0.00019463878841915222,-0.024371984022097663,0.03463499569018266,0.00033344953551492476,1.037460935940163e-06,0.018628907835021826,0.00011176871622798765,2.386776058994195e-06,0.018405431931439575,0.00011042171751902975,0.00011625263433314371,0.03421950772781915,0.00020478623635388727,0.825,0.0,0.07500166978610417,0.16189727393453818,0.07324710738532814
0.026000000000000002,63.0,37268.3471516448,-0.0662719407159564,0.04019437000740091,0.0005124967981579281,0.10066723512155233,0.0156292546581574,-0.00040137782364942114,-0.04104797642484085,0.015321271691293938,0.00031300623614775625,0.05151690187016899,0.0394023180767846,-8.403340221621144e-05,-0.021450362123309367,0.015137474816803831,0.00017999757168642294,0.004180287189660645,0.021354966623105407,0.00012613420218989395,0.04911411803148656,0.038929640412939455,-7.358848219473348e-05,-0.017964518564397798,0.020934155386632167,0.00019402219952002923,0.005091632487753827,0.02068302529719322,0.00011985561987932746,-0.06767669280393238,0.020730959752500857,0.000401091159883521,0.10240779204660566,0.03854314531157678,-0.00027030472613673507,-0.028163340298348393,0.037783631662017446,0.00037293369410469065,1.3343980669692361e-06,0.0203224449109329,0.00012192844469998176,3.0728641739854527e-06,0.0200786530161159,0.00012045759744034142,0.00014930802163541084,0.037330372066711796,0.0002232847165942719,0.8999999999999999,0.0,0.07500589773922177,0.16150634631464011,0.07271192118852303
0.028,62.0,36044.15927209732,-0.09318545515561279,0.043543900841351,0.0006588950493438445,0.12172317432141233,0.016931692546337185,-0.0005024132554512909,-0.04559774778169693,0.016598044332235103,0.00034587612454245573,0.04726080390212368,0.04268584458318333,-5.2986343721913966e-05,-0.031618417088707246,0.016398931051537488,0.00022709575904908112,0.009895474092713786,0.02313454717503086,0.00011372555991222128,0.042621001284117194,0.04217377711401775,-4.1642045504812875e-05,-0.024475513405473923,0.02267866833551818,0.0002438591213994959,0.010160935552591916,0.02240661073862599,0.00010388986950523299,-0.09579301606714916,0.022458539731875934,0.0005408113952148499,0.12440003560829282,0.04175507408754152,-0.00036391630775438485,-0.031342809513932826,0.04093226763385224,0.00041457364759320384,1.6836705986576511e-06,0.02201598198684398,0.00013208788553266206,3.881234945837009e-06,0.021751874100792226,0.00013049280741970944,0.00018808905349514422,0.04044123640560445,0.00024175157030381425,0.9750000000000001,0.0,0.07500776860342569,0.16110659423887713,0.072042635215412
0.03,61.0,35508.41735093812,-0.12722576518127013,0.046893431675301064,0.0008404733209854831,0.14677685865117898,0.018234130434516965,-0.0006209342633213722,-0.049764448845122905,0.01787481697317626,0.0003808353885292391,0.038294277644894764,0.04596937108958203,-7.748596875249883e-06,-0.04115250625845682,0.017660387286271135,0.00029567282624987025,0.016527198569414283,0.024914127726956305,9.011192180545512e-05,0.03447773879407419,0.04541791381509603,1.6781475185873015e-05,-0.03534611456190857,0.02442318128440419,0.0002933921681392687,0.01760390611947919,0.024130196180058752,8.381556376480102e-05,-0.12840077864402163,0.024186119711250998,0.0007198748146704009,0.1481469940893239,0.04496700286350624,-0.0004765981964687195,-0.03469627872257636,0.04408090360568702,0.0004525422787177191,2.089732114774388e-06,0.023709519062755046,0.00014224701235293833,4.82274782564158e-06,0.023425095185468547,0.00014052728370313625,0.00023304931531430975,0.04355210074449709,0.0002601840701460117,1.0499999999999998,0.0,0.07499475580748978,0.16065772950850044,0.07126596073954632
0.032,64.0,36059.19216437884,-0.167247998498178,0.05024296250925114,0.0010648123661431276,0.17498494520671587,0.019536568322696752,-0.0007634417419708934,-0.05370841374012279,0.019151589614117424,0.00041349623075544195,0.026912372030484646,0.049252897595980755,6.575171970651594e-05,-0.05402939942936542,0.01892184352100479,0.00036044609867676966,0.025170998295891284,0.02669370827888176,6.0999058256804874e-05,0.022731283895745028,0.048662050516174324,8.510587033260081e-05,-0.047253226970051077,0.02616769423329021,0.0003690828527711927,0.02595100976464003,0.025853781621491524,4.949925301207401e-05,-0.1671429357089311,0.025913699690626076,0.0009258868700078863,0.17513509974556346,0.04817893163947098,-0.0005998083746991176,-0.038063670311038265,0.047229539577521816,0.0004915549098005891,2.5570991098517993e-06,0.025403056138666127,0.00015240579843930812,5.908515205800669e-06,0.025098316270144874,0.0001505609611339154,0.0002846413417032485,0.04666296508338975,0.00027857949460845266,1.125,0.0,0.07499918214765858,0.16016987968099541,0.07035839354951068
0.034,63.0,35072.235119840734,-0.21200939844839273,0.05359249334320122,0.0013250429510482753,0.20513080760297187,0.020839006210876535,-0.000924875633975036,-0.05783914312043534,0.020428362255058584,0.0004448206559710882,0.012729258934768055,0.05253642410237947,0.00015374431243136895,-0.06976687465888415,0.020183299755738442,0.00044527619511062317,0.03542544831421177,0.02847328883080721,1.9813743209495562e-05,0.007000294179100058,0.05190618721725261,0.0001750494199290455,-0.060808567578917,0.027912207182176223,0.0004509926049133638,0.03550447981205554,0.027577367062924293,9.758143789705583e-06,-0.21435632594691467,0.027641279670001146,0.0011687052922735935,0.20739395866341123,0.05139086041543571,-0.0007424654359807666,-0.0414942177689417,0.0503781755493566,0.0005306510751623692,3.090355831884307e-06,0.027096593214577202,0.0001625642166928041,7.149921496801575e-06,0.026771537354821198,0.0001605937730376924,0.00034331653656193787,0.049773829422282395,0.00029693512848347485,1.2,0.0,0.07499451398538107,0.15964428924740298,0.06932825396425939
0.036000000000000004,63.0,36651.90300292651,-0.262868142185943,0.0569420241771513,0.0016137085357532644,0.2388413384969692,0.022141444099056322,-0.0010979361810234932,-0.06187011281393128,0.021705134895999748,0.0004772656680986105,-0.004763609942814374,0.055819950608778195,0.0002585441500440608,-0.08654571311857986,0.0214447559904721,0.0005472697838961375,0.04671467933916811,0.030252869382732667,-3.1035473588874636e-05,-0.009977299850376323,0.055150323918330905,0.0002889001784353851,-0.0789021256192424,0.02965672013106224,0.0005427917262598754,0.0472547840306446,0.029300952504357065,-3.722116384619085e-05,-0.2662385764560518,0.02936885964937622,0.0014623511135777453,0.24207770367746065,0.05460278919140045,-0.0009167470168320646,-0.045079108256087484,0.053526811521191396,0.0005701261757407986,3.6941591257539995e-06,0.02879013029048828,0.00017272223960793838,8.558642118025196e-06,0.02844475843949753,0.00017062565110800439,0.0004095250933674867,0.05288469376117505,0.0003152482633476787,1.2750000000000001,0.0,0.07499253546548748,0.15904181587011376,0.06825695565338998
0.038,62.0,34230.27556779071,-0.32252466537703517,0.06029155501110138,0.0019389581831822664,0.2774100533396335,0.0234438819872361,-0.0012923847390583986,-0.065328517345593,0.02298190753694091,0.0005091121221052332,-0.027375678659738487,0.05910347711517691,0.0003832025223479477,-0.10392341684832863,0.02270621222520575,0.0006555115520627137,0.05936485426198093,0.03203244993465811,-8.809337642706e-05,-0.030155197245768598,0.05839446061940919,0.0004102305628187131,-0.09990737950614881,0.03140123307994825,0.0006618201521951439,0.060751032813396395,0.03102453794578983,-9.738147650912862e-05,-0.32274411163819683,0.03109643962875129,0.0017840100965088187,0.2780312055239234,0.057814717967365176,-0.0011055779142605728,-0.048794359522627805,0.05667544749302618,0.000610527334494682,4.373243277419698e-06,0.030483667366399354,0.00018287983924364162,1.0146662396324908e-05,0.030117979524173853,0.00018065652529233498,0.000483715915682948,0.0559955581000677,0.00033351619804020127,1.35,0.0,0.07500518797186162,0.15837220333001792,0.06700734946719569
