t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_fixed_horizontal_cylinder_radius2p5_x,object_fixed_horizontal_cylinder_radius2p5_y,object_fixed_horizontal_cylinder_radius2p5_z
0.0,38.0,456.9699785543979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.17,0.045
0.002,36.0,376.1539627308165,0.006811501011873151,0.0,0.0,-0.0052211471750318525,0.0,0.0,-0.0007951769184206517,0.0,0.0,0.006809399753331577,0.0,0.0,-0.005219536521162052,0.0,0.0,-0.0007949316160847678,0.0,0.0,0.006782183288069974,0.0,0.0,-0.005198674601386686,0.0,0.0,-0.0007917543433416522,0.0,0.0,0.006770472642085127,0.0,0.0,-0.005189698177953083,0.0,0.0,-0.0007903872320660266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.17,0.045
0.004,36.0,323.59534021025644,0.025530758108268173,-0.0027153529960555287,-5.716112404757208e-05,-0.019569366863744435,-0.0010558429813510779,2.4991825162084645e-05,-0.002980713611769566,-0.0010350370209229684,-1.4391606150139001e-06,0.02554185856844158,-0.002661845487853893,-5.6827471447112824e-05,-0.01957786287745429,-0.0010226205209574145,2.5181496001227827e-05,-0.0029820464241200103,-0.001442646634094232,-3.8862901080567864e-06,0.025445711114437098,-0.002629913485674132,-5.6472580642464635e-05,-0.01950418960780021,-0.001414218497230262,2.270673662493854e-05,-0.002970806165737556,-0.0013972532645214974,-3.632993527079071e-06,0.025421499316680616,-0.001400491503280058,-4.902578487219111e-05,-0.019485664345125005,-0.002603803594382076,1.5515367501426043e-05,-0.0029680496438025017,-0.002552494227834068,-1.0572641974608247e-05,-1.6517228426852952e-09,-0.0013728940562052448,-8.237364337231469e-06,-3.781721553877532e-09,-0.0013564245593109408,-8.138547355865645e-06,-1.8642382960639175e-07,-0.002521874024062308,-1.5131244144373849e-05,-0.0608,0.0,0.075,0.17,0.045
0.006,35.0,288.75525983814435,0.05404136529705861,-0.0054307059921110575,-0.00018576878460227538,-0.04141990696676737,-0.0021116859627021557,0.00010474608540625367,-0.006310714835700953,-0.0020700740418459367,5.4638374195417746e-06,0.05410872829696297,-0.005323690975707786,-0.00018519329726489618,-0.04147147098049905,-0.002045241041914829,0.00010519573101323677,-0.00631876713762434,-0.002885293268188464,5.805189355892765e-07,0.05400516956974962,-0.005259826971348264,-0.00018423322851471218,-0.041392221067091305,-0.002828436994460524,0.00010005451568003813,-0.0063065972661137185,-0.0027945065290429947,1.0577978201673673e-06,0.05397264308771271,-0.002800983006560116,-0.0001693348939394444,-0.04168016800186315,-0.005207607188764152,8.566834293816511e-05,-0.006146794287409742,-0.005104988455668136,-1.2821632871193803e-05,-8.259594671738e-09,-0.0027457881124104896,-1.6474718764125883e-05,-1.89125838159638e-08,-0.0027128491186218817,-1.6277072021401965e-05,-9.321026879922943e-07,-0.005043748048124616,-3.026136974577006e-05,-0.1216,0.0,0.075,0.17,0.045
0.008,35.0,286.5515333112159,0.0908098619960123,-0.008146058988166586,-0.0003731245457113512,-0.06959088678859843,-0.0031675289440532333,0.0002295142681362848,-0.010609132237059194,-0.003105111062768905,1.923362263759229e-05,0.09101891935503456,-0.00798553646356168,-0.0003725655885631479,-0.06975088152657519,-0.0030678615628722435,0.00023042165650576088,-0.01063409072585874,-0.004327939902282696,1.1944963412049865e-05,0.09097367936220123,-0.007889740457022397,-0.0003713694601606321,-0.06971655464263937,-0.004242655491690786,0.00022289739345240312,-0.010628591141647737,-0.0041917597935644925,1.2689024835295357e-05,0.09090758106443383,-0.004201474509840175,-0.00034904470558531735,-0.07029171260876453,-0.007811410783146228,0.00020321254331230157,-0.010309189130820476,-0.007657482683502204,-9.064130376554769e-06,-2.313196347029505e-08,-0.0041186821686157345,-2.471204345412638e-05,-5.297590947688096e-08,-0.004069273677932823,-2.441552859209404e-05,-2.6098019357285753e-06,-0.007565622072186925,-4.5388139816993595e-05,-0.1824,0.0,0.075,0.17,0.045
0.01,33.0,312.7048009907919,0.13517224428252025,-0.010861411984222115,-0.0006100276438814066,-0.10356105691103687,-0.004223371925404311,0.0003922050891791647,-0.0158041716877964,-0.0041401480836918735,3.8813904920203924e-05,0.13541117907019767,-0.010647381951415572,-0.0006099978078387008,-0.10374361156294584,-0.004090482083829658,0.00039396239665647316,-0.01583327482263478,-0.005770586536376928,2.918102513689087e-05,0.13543642391212882,-0.010519653942696529,-0.0006089599998293866,-0.10376363993354842,-0.005656873988921048,0.00038435808392231,-0.015835789957072542,-0.0055890130580859895,3.0237468501370483e-05,0.13528552379941414,-0.005601966013120232,-0.0005790572824653244,-0.10458682866772463,-0.010415214377528305,0.00035925898938741737,-0.015351406488044693,-0.010209976911336271,5.95273316905228e-07,-4.9585020931433385e-08,-0.005491576224820979,-3.294931855714505e-05,-1.135868250498499e-07,-0.005425698237243763,-3.255387156800572e-05,-5.592155263963472e-06,-0.010087496096249232,-6.0509317765881025e-05,-0.2432,0.0,0.075,0.17,0.045
0.012,36.0,410.38245845123635,0.18693638763742126,-0.013576764980277642,-0.0008924940555767873,-0.14316260509206388,-0.005279214906755389,0.0005896910520256889,-0.021883120295630606,-0.005175185104614842,6.377391949908934e-05,0.18712198468302418,-0.013309227439269466,-0.0008923224390568028,-0.14330383055387816,-0.005113102604787072,0.0005917830537489526,-0.021906976125023563,-0.00721323317047116,5.172024991298172e-05,0.18711481543756553,-0.013149567428370661,-0.0008915159480429969,-0.14329959059884215,-0.0070710924861513095,0.0005801552846843827,-0.02190533789043073,-0.006986266322607487,5.309714180679033e-05,0.18698161974765623,-0.007002457516400291,-0.0008537278878948866,-0.14444923055683895,-0.01301901797191038,0.0005494068641748855,-0.02126885592575506,-0.01276247113917034,1.5533612093246123e-05,-9.094672440305138e-08,-0.006864470281026224,-4.118652417603176e-05,-2.08408153357521e-07,-0.006782122796554704,-4.069205525837793e-05,-1.025159888227786e-05,-0.01260937012031154,-7.562266779028546e-05,-0.304,0.0,0.075,0.17,0.045
0.014,32.0,729.2265666576857,0.24686500996201866,-0.016292117976333172,-0.0012193710336825267,-0.1889465365835039,-0.006335057888106467,0.0008209652832237446,-0.028951144091750005,-0.00621022212553781,9.403738902055677e-05,0.2469519477263663,-0.01597107292712336,-0.0012185583456608853,-0.18901165672303633,-0.006135723125744487,0.000823008644568802,-0.028964812218209277,-0.008655879804565392,7.950657792274903e-05,0.24702272294253308,-0.015779480914044793,-0.001217365778109662,-0.18906778512229103,-0.008485310983381572,0.0008088856776927635,-0.028971844033831413,-0.008383519587128985,8.113090981981046e-05,0.2468281088981879,-0.00840294901968035,-0.0011723074126040196,-0.19048300379103086,-0.015622821566292456,0.0007729584539432789,-0.02817517558012836,-0.015314965367004408,3.572334335250391e-05,-1.5056071895648652e-07,-0.008237364337231469,-4.9423640343042396e-05,-3.451662930212812e-07,-0.008138547355865645,-4.8830033686273726e-05,-1.696030573766373e-05,-0.01513124414437385,-9.072595527294943e-05,-0.3648,0.0,0.075,0.17,0.045
0.016,35.0,2328.487887405152,0.31817270792445806,-0.0190074709723887,-0.0015952348856064441,-0.24331425124411227,-0.007390900869457544,0.0010893338142842783,-0.03741401071347258,-0.007245259146460778,0.00013023530967173536,0.318142172074966,-0.018632918414977252,-0.0015935091968480614,-0.24328901962736868,-0.0071583436467019005,0.0010911198784580066,-0.03741560179277917,-0.010098526438659624,0.0001131977146772979,0.31818762222149377,-0.018409394399718924,-0.0015925927040535122,-0.2433267600644199,-0.009899529480611834,0.001075009533850075,-0.03741900238817727,-0.009780772851650481,0.0001151464270930856,0.3181221215109939,-0.009803440522960406,-0.0015397892965268898,-0.24515221658125527,-0.018226625160674532,0.001033538271782138,-0.03648631756713176,-0.017867459594838472,6.184629591173932e-05,-2.31790259627771e-07,-0.009610258393436714,-5.766064699630655e-05,-5.316670797577462e-07,-0.009494971915176585,-5.696776049330138e-05,-2.6090119777068576e-05,-0.017653118168436156,-0.00010581694717619096,-0.4256,0.0,0.075,0.17,0.045
0.018000000000000002,32.0,879282.6636971644,0.4149086646953706,-0.02172282396844423,-0.0020393731913574136,-0.3168538300052922,-0.008446743850808623,0.001409205044359822,-0.04900126171918405,-0.008280296167383747,0.000174802287276533,0.41491205631947037,-0.021294763902831144,-0.0020366216158667827,-0.31685372256470934,-0.008180964167659316,0.0014106483327582563,-0.04900919574520981,-0.011541173072753857,0.00015524657232015188,0.4145804432756648,-0.021039307885393058,-0.002035361580641321,-0.31660596803199437,-0.011313747977842096,0.0013920780725194667,-0.04896659771384641,-0.011178026116171979,0.00015744585763203172,0.414837378875353,-0.011203932026240464,-0.0019759563212234064,-0.3189853988092075,-0.02083042875505661,0.0013459307269571919,-0.04792411915506809,-0.020419953822672542,9.639818246675532e-05,-3.380221338797656e-07,-0.010983152449641959,-6.589752395629398e-05,-7.758116242912731e-07,-0.010851396474487527,-6.510518884444661e-05,-3.8012490265941025e-05,-0.020174992192498464,-0.00012089341243632837,-0.4864,0.0,0.075,0.17,0.045
