t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma,input_sigma_diff,object_gui_scanned_mug_x,object_gui_scanned_mug_y,object_gui_scanned_mug_z
0.20600000000000002,0.0,0.0,0.007848606364362274,0.3074938533319226,0.0035991589368162945,0.05169402645033216,0.30143451964565376,0.003014040190512849,0.08615446686779601,0.24200819450055291,0.0018971985012499009,0.007645159607988734,0.3074938533319226,0.0036014324584774282,0.043866997346882514,0.2978184541068005,0.0030624315190603043,0.11525767268569898,0.2978184541068005,0.002226521531204707,0.018058180028929283,0.30143451964565376,0.0034069308306076654,0.025250984751804872,0.23723929135208133,0.0025529461396030426,0.08949709544521209,0.23439332391965625,0.0017664615467888202,8.0,0.0,0.045,0.125,0.09
0.20800000000000002,0.0,0.0,0.008141572835392685,0.3074938533319226,0.0035957429636107236,0.05314751798647333,0.30143451964565376,0.002996885918343859,0.0884315719332956,0.24200819450055291,0.0018702447315930828,0.00792351255346407,0.3074938533319226,0.0035981843246872063,0.04514098271196256,0.2978184541068005,0.0030474174811190163,0.11828032250154481,0.2978184541068005,0.0021907293770532187,0.018603624368863137,0.30143451964565376,0.003400516075400694,0.02602376140229067,0.23723929135208133,0.0025438596792033176,0.09183658456184482,0.23439332391965625,0.0017387547416933301,8.0,0.0,0.045,0.125,0.09
0.21,0.0,0.0,0.008442994097116567,0.3074938533319226,0.003592227365958359,0.05462477981635411,0.30143451964565376,0.0029794440199101655,0.09073897900910864,0.24200819450055291,0.001842919470807088,0.008209676224258318,0.3074938533319226,0.0035948440893415023,0.0464377020453061,0.2978184541068005,0.003032129656738056,0.1213420148075534,0.2978184541068005,0.0021544575792630687,0.019159984632148748,0.30143451964565376,0.0033939707433214873,0.02681215073035791,0.23723929135208133,0.002534586359397488,0.09420592732318578,0.23439332391965625,0.0017106808722937373,8.0,0.0,0.045,0.125,0.09
0.212,0.0,0.0,0.008753024986755148,0.3074938533319226,0.0035886103108176723,0.056125609879777015,0.30143451964565376,0.002961716877951596,0.09307602402990209,0.24200819450055291,0.0018152305858973314,0.00850378827149751,0.3074938533319226,0.003591410125291971,0.04775707132252842,0.2978184541068005,0.003016569024737933,0.1244418101390358,0.2978184541068005,0.0021177172715909653,0.019727295992208294,0.30143451964565376,0.0033872944201620604,0.027616193095920647,0.23723929135208133,0.002525125687460681,0.09660437963778518,0.23439332391965625,0.0016822487591576457,8.0,0.0,0.045,0.125,0.09
0.214,0.0,0.0,0.009071822379729394,0.3074938533319226,0.0035848899401420098,0.057649802636556884,0.30143451964565376,0.002943706917190521,0.09544203466024354,0.24200819450055291,0.00178718604564781,0.008805988371670664,0.3074938533319226,0.003587880780725101,0.04909900402054948,0.2978184541068005,0.003000736593411265,0.1275787576961419,0.2978184541068005,0.0020805197276131766,0.02030559427676437,0.30143451964565376,0.003380486683841346,0.02843592808431685,0.23723929135208133,0.0025154771790739283,0.09903118862985132,0.23439332391965625,0.001653467331382453,8.0,0.0,0.045,0.125,0.09
0.216,0.0,0.0,0.009399545143351593,0.3074938533319226,0.0035810643714263186,0.05919714908563922,0.30143451964565376,0.0029254166041091626,0.09783633050865641,0.24200819450055291,0.0017587939180837126,0.009116418195975445,0.3074938533319226,0.003584254379523023,0.05046341107484973,0.2978184541068005,0.0029846334010350125,0.13075189566409937,0.2978184541068005,0.0020428763569279034,0.020894915965864992,0.30143451964565376,0.0033735471044266728,0.029271394431706507,0.23723929135208133,0.0025056403592131735,0.10148559290208421,0.23439332391965625,0.0016243456234776594,8.0,0.0,0.045,0.125,0.09
0.218,0.0,0.0,0.0097363540897757,0.3074938533319226,0.0035771316982628515,0.06076743678478902,0.30143451964565376,0.0029068484467201744,0.10025822334420943,0.24200819450055291,0.0017300623679027583,0.00943522137907598,0.3074938533319226,0.003580529221631366,0.0518502008367058,0.2978184541068005,0.0029682605163834095,0.13396025153710905,0.2978184541068005,0.002004798701312414,0.021495298189715496,0.30143451964565376,0.003366475244157465,0.03012262994999665,0.23723929135208133,0.002495614763044498,0.10396682280143803,0.23439332391965625,0.0015948927722108644,8.0,0.0,0.045,0.125,0.09
0.22,0.0,0.0,0.01008241192821292,0.3074938533319226,0.0035730899909057626,0.06236044987085908,0.30143451964565376,0.002888004994330377,0.102707017315568,0.24200819450055291,0.0017009996538761216,0.009762543487271642,0.3074938533319226,0.003576703583434159,0.05325927903044427,0.2978184541068005,0.0029516190392411368,0.13720284244578182,0.2978184541068005,0.0019662984308362976,0.02210677872630963,0.30143451964565376,0.003359270657471259,0.03098967145133849,0.23723929135208133,0.002485399936825016,0.10647410068771455,0.23439332391965625,0.001565118013418619,8.0,0.0,0.045,0.125,0.09
0.222,0.0,0.0,0.010437883216419148,0.3074938533319226,0.0035689372968445163,0.0639759690806472,0.30143451964565376,0.002868888837297536,0.10518200917243424,0.24200819450055291,0.001671614126219819,0.010098531986075646,0.3074938533319226,0.0035727757181358115,0.05469054871075178,0.2978184541068005,0.002934710100916275,0.1404786754880005,0.2978184541068005,0.0019273873399322245,0.022729395998851997,0.30143451964565376,0.0033519328910321298,0.03187255467224224,0.23723929135208133,0.002474995438808914,0.10900664120488854,0.23439332391965625,0.0015350306787833006,8.0,0.0,0.045,0.125,0.09
0.224,0.0,0.0,0.010802934311460994,0.3074938533319226,0.0035646716413860412,0.06561377177235121,0.30143451964565376,0.0028495026067800787,0.10768248848930169,0.24200819450055291,0.0016419142239374243,0.010443336207202218,0.3074938533319226,0.0035687438561501634,0.05614391022008022,0.2978184541068005,0.002917534864752585,0.14378674806308941,0.2978184541068005,0.0018880773434256004,0.023363189072963995,0.30143451964565376,0.0033444614837616214,0.03277131419735555,0.23723929135208133,0.0024644008401580693,0.11156365155506492,0.23439332391965625,0.0015046401925772127,8.0,0.0,0.045,0.125,0.09
