t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma_close,input_sigma_roll_adapt,object_adaptive_cylinder_x,object_adaptive_cylinder_y,object_adaptive_cylinder_z
0.028,5.0,0.0,2.147496155635581e-06,0.030380392709193953,0.0001822732610411302,4.969036527593772e-05,0.029781730540990592,0.00017845271189310038,8.695904794190012e-05,0.023910409616654627,0.00014304825376948717,4.305466020365679e-06,0.030380392709193953,0.00018226186741583753,3.868193516837951e-05,0.02942446326575189,0.00017636257783402214,0.00011740373649553131,0.02942446326575189,0.00017598760991919887,1.5158202472899594e-05,0.029781730540990592,0.000178618203971736,2.0365215754419338e-05,0.023439241985585633,0.00014053848535027205,9.155628695699818e-05,0.023158060403262036,0.0001385122965529899,0.7904,0.0,0.04641738896606163,0.12500071751949782,0.07850000811493799
0.03,5.0,0.0,2.9144776164532104e-06,0.03271734599451656,0.00019629119099016554,6.134685619541083e-05,0.03207263289029756,0.00019213765515012972,0.00010774022806525738,0.025749671894858828,0.00015397627708150157,5.339611734646659e-06,0.03271734599451656,0.00019627824317097718,4.7938565060312506e-05,0.031687883516963576,0.00018989520949077118,0.00014547092101982706,0.031687883516963576,0.00018942287868280825,1.8786552706261787e-05,0.03207263289029756,0.00019234484812694796,2.5241949667717635e-05,0.02524226059986145,0.00015133137230464219,0.0001134436057801015,0.024939449665051423,0.00014908736026856653,0.8512,0.0,0.04654326288237687,0.12500078128759923,0.07850000977569219
0.032,5.0,0.0,3.82730215677912e-06,0.03505429927983917,0.0002103083088133363,7.469775565357119e-05,0.034363535239604524,0.0002058131303004547,0.00013158707538891046,0.027588934173063028,0.00016488716366998664,6.528245777681272e-06,0.03505429927983917,0.00021029375800862713,5.856456789286486e-05,0.033951303768175255,0.00020342019121868965,0.00017767939835650808,0.033951303768175255,0.0002028349970829326,2.2952042658210836e-05,0.034363535239604524,0.00020606849212138957,3.084141500013858e-05,0.02704527921413727,0.0001621202235868173,0.0001385601356867867,0.02672083892684081,0.00015964437192636426,0.9119999999999999,0.0,0.046669136798692105,0.12500084505570064,0.07850001143644639
0.034,5.0,0.0,4.896557465165601e-06,0.037391252565161785,0.00022432455157803005,8.985934845098562e-05,0.0366544375889115,0.00021947843899954757,0.00015870869590797195,0.029428196451267236,0.00017577965625526997,7.882451760867654e-06,0.037391252565161785,0.00022430834591630463,7.065431533715728e-05,0.03621472401938694,0.00021693695670896448,0.0002143114332273571,0.03621472401938694,0.0002162222677261826,2.7691801429574952e-05,0.0366544375889115,0.00021978891327751975,3.721379547726164e-05,0.02884829782841309,0.0001729047384804777,0.00016712590336446362,0.0285022281886302,0.00017018200831766048,0.9728,0.0,0.04679501071500734,0.12500090882380205,0.07850001309720059
0.036000000000000004,5.0,0.0,6.132937144477305e-06,0.0397282058504844,0.0002383398557581154,0.00010694780588147917,0.03894533993821847,0.0002331328835386049,0.0001893137238807394,0.03126745872947144,0.00018665250020138082,9.413400611945377e-06,0.0397282058504844,0.00023832194039234122,8.43021648928707e-05,0.03847814427059863,0.00023044493973156888,0.0002556486114179301,0.03847814427059863,0.00022958299702422765,3.304297546220583e-05,0.03894533993821847,0.00023350588882073338,4.440934360730697e-05,0.03065131644268891,0.0001836846158832699,0.00019936039155504592,0.03028361745041959,0.00018069894928233074,1.0336,0.0,0.04692088463132258,0.12500097259190346,0.07850001475795479
0.038,5.0,0.0,7.547247691724195e-06,0.04206515913580701,0.0002523541571919752,0.00012607917818214503,0.04123624228752543,0.00024677576688986375,0.000223610290783255,0.03310672100767564,0.00019750444370276942,1.1132356352358679e-05,0.04206515913580701,0.0002523344744111704,9.960245882638826e-05,0.04074156452181031,0.00024394357414150465,0.0003019717951310155,0.04074156452181031,0.00024291549546235432,3.904272970441489e-05,0.04123624228752543,0.00024721919587237937,5.2478385092899905e-05,0.032454335056964725,0.00019445955428014453,0.00023548250330314349,0.03206500671220898,0.0001911938779239236,1.0944,0.0,0.04704675854763782,0.12500103636000487,0.07850001641870899
0.04,5.0,0.0,9.15041546222965e-06,0.044402112421129625,0.0002663673910406274,0.0001473693869862347,0.0435271446368324,0.00026040639275190156,0.00026180599434334626,0.03494598328587984,0.0002083342379705795,1.3050681866010776e-05,0.044402112421129625,0.0002663458803886636,0.00011664952308599215,0.043004984773022,0.0002574322938851736,0.0003535610784610596,0.043004984773022,0.0002562180778673459,4.572824877822679e-05,0.0435271446368324,0.0002609286114427679,6.147132320876136e-05,0.03425735367124055,0.0002052292517168859,0.00027571052630465657,0.03384639597399836,0.00020166548082417132,1.1552,0.0,0.047172632463953056,0.12500110012810628,0.07850001807946319
0.042,5.0,0.0,1.0953493617139339e-05,0.04673906570645223,0.00028037949174594006,0.00017093421777911785,0.04581804698613937,0.0002740240655949188,0.00030410786765920145,0.036785245564084045,0.0002191406374184442,1.5179844658855544e-05,0.04673906570645223,0.0002803560901475174,0.00013553766619267497,0.045268405024233675,0.0002709105330068861,0.0004106957429972427,0.045268405024233675,0.0002694890636746357,5.313673814855832e-05,0.04581804698613937,0.00027463391242416686,7.143864314317629e-05,0.03606037228551636,0.0002159934057738456,0.0003202620973621465,0.03562778523578775,0.00021211244825689856,1.216,0.0,0.04729850638026829,0.1250011638962077,0.07850001974021739
0.044,5.0,0.0,1.2967669053279489e-05,0.04907601899177484,0.0002943903929889462,0.0001968893123575016,0.048108949335446335,0.0002876280907060033,0.00035072234840751885,0.03862450784228824,0.00022992239984777425,1.753142260877317e-05,0.04907601899177484,0.00029436503488269595,0.0001563611781051332,0.04753182527544536,0.00028437772565551614,0.0004736542135628682,0.04753182527544536,0.0002827267771946887,6.130542529442888e-05,0.048108949335446335,0.0002883348755837867,8.243091630110187e-05,0.037863390899792175,0.000226751713539894,0.0003693541669533389,0.037409174497577136,0.00022253347440128994,1.2768,0.0,0.04742438029658353,0.1250012276643091,0.07850002140097159
0.046,5.0,0.0,1.5204269314376246e-05,0.05141297227709745,0.00030840002764826504,0.00022535016129209999,0.050399851684753305,0.00030121777423437485,0.00040185524814625415,0.040463770120492445,0.00024067828663250959,2.0117109705176672e-05,0.05141297227709745,0.0003083726451269321,0.00017921432905751864,0.049795245526657046,0.0002978333060913115,0.0005427140140987028,0.049795245526657046,0.0002959295478785651,7.0271560882307e-05,0.050399851684753305,0.00030203127755675327,9.44988045667874e-05,0.039666409514067996,0.0002375038715866014,0.0004232029639190947,0.039190563759366526,0.00023292725755447911,1.3376,0.0,0.04755025421289877,0.1250012914324105,0.0785000230617258
