t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_horizontal_cylinder_radius2p5_x,object_horizontal_cylinder_radius2p5_y,object_horizontal_cylinder_radius2p5_z
0.02,37.0,9091.197428995827,0.3536400207855323,-0.024438176964499757,-0.001959494746990302,-0.27012076209999814,-0.009502586832159701,0.0013213804282175801,-0.041723608563900866,-0.009315333188306716,0.0001612050888848892,0.3820614691150409,-0.02395660939068504,-0.002133334376363586,-0.2850565813596799,-0.00920358468861673,0.0014678086066512472,-0.04847541657046557,-0.01298381970684809,0.00015528165945447937,0.3802953133532352,-0.02366922137106719,-0.002126469498244985,-0.28184706835311735,-0.012727966475072358,0.001433160656842674,-0.04919488445876122,-0.012575279380693478,0.00016190417016942476,0.35292030801361507,-0.012604423529520523,-0.0018956539916431367,-0.2693561945728717,-0.023434232349438686,0.001236912491194627,-0.041777495215713126,-0.022972448050506612,8.341816967747706e-05,-4.7267058433253345e-07,-0.012356046505847203,-7.413425090227994e-05,-1.0856121216968301e-06,-0.012207821033798468,-7.324227133304506e-05,-5.309840617520329e-05,-0.022696866216560776,-0.000135953122357769,-0.5472,0.0,0.07501276487547937,0.1384468760785424,0.08712404533480014
0.022,32.0,8766.542524347038,0.403441713977594,-0.027153529960555284,-0.0022847613044765253,-0.309388148079054,-0.010558429813510777,0.0015573739937189241,-0.046973336665325396,-0.010350370209229683,0.00018823943012802707,0.42976892233676556,-0.026618454878538932,-0.002452079543961479,-0.30906911635541506,-0.010226205209574145,0.0016489822569006345,-0.06030764117135101,-0.01442646634094232,0.0002042937013771395,0.42754062800744974,-0.026299134856741322,-0.002439566689259859,-0.30605864556105933,-0.014142184972302619,0.0016062293002848884,-0.0606956847802785,-0.013972532645214975,0.00021133411088127747,0.402300127401403,-0.014004915032800581,-0.002201551338278494,-0.3100095998545873,-0.02603803594382076,0.0014599089517743056,-0.04613419986330951,-0.02552494227834068,9.751531762423468e-05,-6.391812318082195e-07,-0.013728940562052448,-8.23708073488087e-05,-1.4692076269944524e-06,-0.013564245593109408,-8.137895988592627e-05,-7.171833064906377e-05,-0.02521874024062308,-0.00015099385100668727,-0.608,0.0,0.07500006014724185,0.13759259773923363,0.08828507050932446
0.024,32.0,8783.61219372499,0.4488108112735788,-0.02986888295661081,-0.002599863581605229,-0.34548028580745144,-0.011614272794861854,0.001786643251705153,-0.0515893688564565,-0.01138540723015265,0.0002135275766110365,0.4728767886372047,-0.029280300366392824,-0.0027542953362189506,-0.3257356387255145,-0.011248825730531558,0.0017869217437493012,-0.07350719206352968,-0.015869112975036553,0.00026663116917788674,0.4713283160392611,-0.028929048342415453,-0.0027388180580991913,-0.32401135336357695,-0.01555640346953288,0.0017430134525491588,-0.07359106537450506,-0.01536978590973647,0.0002719553932232522,0.4508757825353492,-0.015405406536080638,-0.0025062332036249017,-0.3507415256981787,-0.028641839538202835,0.001688206561898307,-0.0500469889043251,-0.028077436506174745,0.00010834058014280857,-8.410349987353758e-07,-0.015101834618257693,-9.060717262215532e-05,-1.9348797918247246e-06,-0.014920670152420348,-8.951520566876013e-05,-9.424213556606851e-05,-0.02774061426468539,-0.00016601337560421796,-0.6688,0.0,0.07497966387165711,0.1367582466490322,0.08946803405400308
0.026000000000000002,29.0,8536.768794324147,0.49069380406544666,-0.032584235952666345,-0.002888370283357471,-0.37938648644339057,-0.012670115776212933,0.001996861020187431,-0.05554971057770525,-0.01242044425107562,0.00023501354763228528,0.5114065727207529,-0.03194214585424672,-0.0030289136069487086,-0.33407279203452617,-0.012271446251488974,0.0018807851548441532,-0.08857483883075788,-0.017311759609130783,0.0003371725947263934,0.5112117611315938,-0.031558961828089586,-0.003017323667204104,-0.33496582528749463,-0.016970621966763143,0.0018422443883808828,-0.08802578119391193,-0.01676703917425797,0.0003409441572014826,0.4974375302366314,-0.0168058980393607,-0.00280609008344826,-0.38979951028969956,-0.031245643132584912,0.0019169752953935625,-0.05378698431842936,-0.030629930734008815,0.00011650234902189772,-1.0817520329561478e-06,-0.016474728674462938,-9.884332583678522e-05,-2.491068557044408e-06,-0.01627709471173129,-9.76509589916368e-05,-0.00012103903620577308,-0.0302624882887477,-0.0001810094769190898,-0.7296,0.0,0.0749571037798344,0.1359581228713832,0.09067765777529704
0.028,30.0,8450.051630501099,0.5286823244961965,-0.03529958894872187,-0.003155960358085011,-0.41086036411080684,-0.013725958757564011,0.0021939631661149596,-0.05877288286611305,-0.013455481271998589,0.00025256537583423993,0.5447153422074519,-0.03460399134210061,-0.0032760633843771205,-0.33435664218704464,-0.013294066772446388,0.0019246723515724787,-0.10504917868793,-0.018754406243225018,0.00041892259552519726,0.5461202001816393,-0.03418887531376372,-0.0032724038186721454,-0.3382322915131913,-0.018384840463993406,0.0018994859089410073,-0.10380749542766404,-0.018164292438779466,0.00041916893253079475,0.5402491059826725,-0.018206389542640755,-0.003093863518675633,-0.42532006577918824,-0.033849446726966985,0.0021357003813763952,-0.05741760668461465,-0.03318242496184288,0.0001236273561395189,-1.3648956319779753e-06,-0.017847622730668183,-0.00010707924587181136,-3.146387796092267e-06,-0.01763351927104223,-0.0001057861692149111,-0.00015247752603339697,-0.032784362312810005,-0.0001959799396596254,-0.7904,0.0,0.07494213058824307,0.13519880438966617,0.09190460424544623
0.03,31.0,803.3070474067989,0.5642528776142384,-0.0380149419447774,-0.003400183598645843,-0.44033826189503317,-0.014781801738915088,0.0023764713742313506,-0.06177858319522094,-0.014490518292921556,0.00026569418743914897,0.5732186145915512,-0.037265836829954505,-0.0034918870742244386,-0.32724537920660846,-0.014316687293403801,0.001920239729361845,-0.1228067261183997,-0.02019705287731925,0.0005091127548636645,0.5754184316389664,-0.03681878879943785,-0.0034976339338864634,-0.33321456928265963,-0.019799058961223668,0.0019105993953118057,-0.12091464203528521,-0.019561545703300962,0.0005054756983461785,0.5776031949167907,-0.019606881045920812,-0.0033591359221715597,-0.45635873365749824,-0.036453250321349065,0.0023332008927470353,-0.06055725790691394,-0.035734919189676945,0.00013009612496962626,-1.694076167709493e-06,-0.019220516786873428,-0.00011531491134744869,-3.909640903987528e-06,-0.01898994383035317,-0.00011392078465534247,-0.00018892531161480056,-0.03530623633687231,-0.0002109225528650335,-0.8512,0.0,0.07494820507400764,0.13447005406865678,0.09310462971659643
0.032,28.0,964.7861504294742,0.6020228846492881,-0.040730294940832926,-0.0036298990353304276,-0.46823162417327885,-0.015837644720266164,0.002547003703048602,-0.06666948808138895,-0.015525555313844523,0.00027751816728825853,0.6032203646934413,-0.0399276823178084,-0.0036788777814561577,-0.3174967147043906,-0.015339307814361216,0.0018714364283534835,-0.1426182617322243,-0.02163969951141348,0.0006070021596419173,0.6055252113732333,-0.03944870228511198,-0.0036892028035444705,-0.32477240476714364,-0.021213277458453927,0.0018720077509452343,-0.14012446878940904,-0.020958798967822462,0.0005997350584047765,0.6148068231858543,-0.02100737254920087,-0.003591663404795949,-0.4837990611155327,-0.03905705391573114,0.0025038100784506028,-0.06541755256692491,-0.03828741341751101,0.00013361906693641759,-2.0729550117181267e-06,-0.020593410843078672,-0.00012355030060146578,-4.789836326837119e-06,-0.02034636838966411,-0.00012205475249256074,-0.00023074924767410031,-0.03782811036093462,-0.0002258351102959189,-0.9119999999999999,0.0,0.07495253728103643,0.1336922566297598,0.09451251372245696
0.034,32.0,713.1422078132902,0.6421992221043992,-0.04344564793688846,-0.0038728111955170594,-0.4926303671669019,-0.016893487701617246,0.0027080288188299695,-0.07450364067562687,-0.016560592334767494,0.00030065337447972876,0.6361693317734396,-0.04258952780566229,-0.0038748593549946214,-0.30637787570631525,-0.016361928335318632,0.001806808718214432,-0.16457194036236722,-0.023082346145507714,0.0007172154935202995,0.6382944569103539,-0.042078615770786115,-0.0038856229628641166,-0.31457765249409236,-0.022627495955684192,0.0018128694528687568,-0.16152549300425548,-0.022356052232343958,0.0007066104993423904,0.6534383849325762,-0.02240786405248093,-0.003823288123430012,-0.5073240358130832,-0.04166085751011322,0.0026528292216325172,-0.07294597678430122,-0.040839907645345085,0.000147465869529479,-2.5052484610444816e-06,-0.021966304899283917,-0.0001317853916656332,-5.796203026742904e-06,-0.021702792948975053,-0.0001301880186758893,-0.00027831527230621133,-0.04034998438499693,-0.00024071541082393698,-0.9728,0.0,0.0749618636125458,0.1328133269434523,0.0962146249738705
0.036000000000000004,27.0,637.0455077638895,0.6825723491374998,-0.04616100093294399,-0.004130161338224058,-0.5124757018915703,-0.017949330682968324,0.0028480862189036015,-0.08470486592530685,-0.01759562935569046,0.00034144806791961844,0.6703426017988535,-0.04525137329351619,-0.004088524230401735,-0.29370253068572355,-0.017384548856276046,0.0017339599611002352,-0.18789655476173842,-0.024524992779601948,0.0008402816854965916,0.6722858756269695,-0.04470852925646025,-0.004098017917000886,-0.3023152540237504,-0.024041714452914455,0.0017432156282470674,-0.18455226136218997,-0.023753305496865457,0.00082663312504434,0.692271055840152,-0.02380835555576099,-0.004063480442930024,-0.5256370607170391,-0.0442646611044953,0.0027783562482515275,-0.08317687063741425,-0.04339240187317916,0.00017732144946673237,-2.994731664605996e-06,-0.023339198955489165,-0.00014002016224216873,-6.938205877016571e-06,-0.023059217508285997,-0.00013832052783155553,-0.00033198834235657654,-0.042871858409059244,-0.0002555612588205182,-1.0336,0.0,0.07496978109091146,0.1318736672848842,0.09823239867624273
0.038,31.0,677.6808949869406,0.7219944644617551,-0.048876353928999514,-0.0043886922183989955,-0.5257935107134153,-0.019005173664319402,0.0029608231693635054,-0.09768512460616077,-0.018630666376613432,0.00039644519729216057,0.704595459609994,-0.04791321878137008,-0.004309534923481342,-0.2778631123583745,-0.01840716937723346,0.0016517721678509405,-0.21282035151763176,-0.02596763941369618,0.0009715734920882535,0.706254572024901,-0.04733844274213438,-0.004317745910214624,-0.28751608317487515,-0.025455932950144717,0.0016611559264416344,-0.20881376670829094,-0.025150558761386957,0.000956410215604818,0.7298196845016427,-0.025208847059041046,-0.0043048794173951585,-0.5386768771750721,-0.04686846469887737,0.00287261157610897,-0.09539733867423762,-0.045944896101013225,0.00022339184721840614,-3.545242550219505e-06,-0.024712093011694407,-0.0001482545896801788,-8.225560982627613e-06,-0.024415642067596936,-0.0001464522231703195,-0.0003921323689803109,-0.04539373243312155,-0.00027037046454458984,-1.0944,0.0,0.07497587016268568,0.13091400259572492,0.10054301530009849
