t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_free_horizontal_y_axis_cylinder_radius2p5_x,object_free_horizontal_y_axis_cylinder_radius2p5_y,object_free_horizontal_y_axis_cylinder_radius2p5_z
0.0,27.0,5987.377975997677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.205,0.105
0.002,27.0,6039.045960298265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015156977261178504,0.0,0.0,0.0010188095896684316,0.0,0.0,0.00015243146904738824,0.0,0.0,0.0011150372457944659,0.0,0.0,0.0014351420109460131,0.0,0.0,-0.0003157129014103144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500195081605558,0.2049736952308791,0.10530350047985075
0.004,28.0,6211.713247993236,7.149142963023809e-08,0.0061248563820801415,1.5312140955200354e-05,-2.8053656989453124e-08,0.0023816007098144618,5.954001774536155e-06,5.123955030481675e-08,0.002334669972006696,5.836674930016741e-06,0.009074813551031048,0.0060041627545576555,1.1221162571099513e-05,0.0012640009807803067,0.0023066628292272512,3.219633098897049e-06,0.0017956482939530277,0.0032540901520922536,7.754146707612163e-06,0.008333136382916839,0.005932135681971728,1.2042746090443156e-05,0.001977939196911327,0.003189966535105855,4.387061310399604e-06,0.0021837333385320533,0.003151699092905634,8.668529985789873e-06,-3.5775946791449485e-08,0.0031590033908572746,7.897508477143187e-06,9.338086454060109e-08,0.005873241190335512,1.468310297583878e-05,1.5111959665884063e-07,0.005757505777069328,1.4393764442673319e-05,1.5523710927493417e-09,0.003096753510237395,7.741883775593489e-06,3.5542495807119436e-09,0.0030596042691224236,7.649010672806059e-06,1.752103661714208e-07,0.005688437648260847,1.4221094120652119e-05,0.13714285714285718,0.0,0.07500986476551141,0.2049079910910946,0.10621186433415591
0.006,25.0,4865.874574445236,3.5745560330904067e-07,0.012249712764160283,3.062410318182663e-05,-1.4026591856094475e-07,0.0047632014196289235,1.1908073683214783e-05,2.5619573951605115e-07,0.004669339944013392,1.167322176115772e-05,0.022929096702933707,0.012008325509115311,7.333779895210657e-06,0.0016077348797381742,0.0046133256584545024,8.37331169418549e-06,0.004516804315029405,0.006508180304184507,1.1781330025578698e-05,0.0228517660204852,0.011864271363943456,8.827837452566544e-06,0.002422268428526234,0.00637993307021171,1.1004984683250958e-05,0.0042658604457657965,0.006303398185811268,1.0299162118198038e-05,-1.788775147703627e-07,0.006318006781714549,1.5795106394153352e-05,4.669022291177671e-07,0.011746482380671023,2.9365972499516206e-05,7.555931980059844e-07,0.011515011554138655,2.8787151086354992e-05,7.762239415153135e-09,0.00619350702047479,1.5483763670259243e-05,1.7772804939343068e-08,0.006119208538244847,1.529801245998817e-05,8.760453850395663e-07,0.011376875296521694,2.8441750215388806e-05,0.27428571428571435,0.0,0.07499160859796482,0.20475602504557427,0.10767379193983108
0.008,27.0,4864.982289319261,1.0008676561415955e-06,0.018374569146240423,4.5935529226592786e-05,-3.9273226687856593e-07,0.007144802129443384,1.7862355988404864e-05,7.173376082967134e-07,0.007004009916020087,1.7509384300701428e-05,0.04297101307662782,0.018012488263672966,-1.2291521098151855e-05,0.0010601222918526017,0.006919988487681753,1.3280634019858948e-05,0.008019697307704361,0.00976227045627676,1.3113665353118387e-05,0.043041378989286457,0.01779640704591518,-1.2638397436425045e-05,0.0030339344161908937,0.009569899605317563,1.7869077941978326e-05,0.0066524452711465756,0.009455097278716901,1.2973092082377762e-05,-5.008455016630147e-07,0.009477010172571822,2.3692972625216484e-05,1.3073153549395511e-06,0.01761972357100653,4.404814167194353e-05,2.1156360710799377e-06,0.01727251733120798,4.317940434502493e-05,2.1736266910755357e-08,0.009290260530712184,2.322563192118192e-05,4.977195031017197e-08,0.00917881280736727,2.2946987586405826e-05,2.452893560113546e-06,0.01706531294478254,4.266109224849375e-05,0.4114285714285715,0.0,0.0750021704635035,0.2044884755058014,0.10966337790998212
0.01,25.0,4500.291490134077,2.1446903648841154e-06,0.024499425528320566,6.124606165166106e-05,-8.415292538333518e-07,0.009526402839257847,2.3816988928811816e-05,1.537118101900321e-06,0.009338679888026785,2.3344906376046224e-05,0.068327738000029,0.024016651018230622,-4.738590514599299e-05,0.000633217098958676,0.009226651316909005,2.0416322562641008e-05,0.011888151504342961,0.013016360608369014,1.2491658251661633e-05,0.06858069396308784,0.023728542727886912,-4.8282090653498864e-05,0.003201203861022924,0.01275986614042342,2.4314829310581312e-05,0.008394587650816413,0.012606796371622537,1.4885877751189903e-05,-1.0732029522451826e-06,0.012636013563429098,3.15912860223269e-05,2.8013547549033682e-06,0.023492964761342047,5.872914361496777e-05,4.533425201746888e-06,0.02303002310827731,5.7569768680515585e-05,4.65841871414422e-08,0.01238701404094958,3.096748076170667e-05,1.066804254713175e-07,0.012238417076489694,3.0595918261348464e-05,5.256091830139848e-06,0.02275375059304339,5.6878244248708186e-05,0.5485714285714287,0.0,0.07501567972128724,0.20411134162479774,0.11202849267107307
0.012,25.0,4061.806595156296,3.9318679695735105e-06,0.0306242819104007,7.655534305008953e-05,-1.5427050376000945e-06,0.011908003549072305,2.9772112695815345e-05,2.817966023822409e-06,0.011673349860033478,2.9179531854828942e-05,0.09803417214659585,0.03002081377278827,-9.576731056810183e-05,0.000734839805539867,0.011533314146136254,2.7250242617943942e-05,0.013483254250769548,0.016270450760461262,1.0955748140295753e-05,0.098945934010198,0.029660678409858636,-9.730003888307302e-05,0.0030859641718665692,0.01594983267552927,3.187157203626586e-05,0.008694634887661869,0.015758495464528167,1.8409769534279384e-05,-1.9674462829948537e-06,0.01579501695428637,3.9490225393096544e-05,5.135729820209608e-06,0.02936620595167755,7.340851149230661e-05,8.311080156462352e-06,0.02878752888534663,7.195748865036221e-05,8.542034111129513e-08,0.015483767551186972,3.8709302417499576e-05,1.9564565197881463e-07,0.015298021345612114,3.824478666296661e-05,9.63589979040331e-06,0.028442188241304227,7.109233037368523e-05,0.6857142857142857,0.0,0.07503371406187481,0.20359050824062905,0.1147316573928963
0.014,23.0,3818.5233650718224,6.505319996266201e-06,0.036749138292480846,9.186301606127817e-05,-2.5522699215295935e-06,0.014289604258886769,3.572786740981092e-05,4.6622779913226e-06,0.014008019832040175,3.501300466504088e-05,0.13221271293957224,0.03602497652734593,-0.0001550229890481248,-1.927636693187945e-05,0.013839976975363506,3.27628429245591e-05,0.013646336030196975,0.01952454091255352,1.5103216654459929e-05,0.13361085589005672,0.03559281409183036,-0.00015838279979591907,0.0022231303770695134,0.019139799210635126,4.0134587596921395e-05,0.009624596174408449,0.018910194557433802,2.5538899174429835e-05,-3.2550364083004893e-06,0.018954020345143645,4.73899694785666e-05,8.497116448035525e-06,0.03523944714201306,8.808577853048214e-05,1.3750643947271093e-05,0.03454503466241596,8.634180895564874e-05,1.4136521311067565e-07,0.018580521061424368,4.645108910270814e-05,3.2383995727964345e-07,0.01835762561473454,4.589357492270641e-05,1.5942473919106864e-05,0.03413062588956508,8.53024749744367e-05,0.822857142857143,0.0,0.0750332383389285,0.20291115279872102,0.11771058073323297
0.016,25.0,3631.6673149643084,1.000793508132961e-05,0.042873994674560975,0.00010716872338641177,-3.926186896310114e-06,0.016671204968701225,4.168439309655689e-05,7.172410393565189e-06,0.016342689804046868,4.084506881513886e-05,0.17007881089900947,0.04202913928190358,-0.00022545893414417165,-0.0008585247903662744,0.016146639804590752,4.041479042880658e-05,0.016437194725276376,0.02277863106464577,2.2830737586121984e-05,0.17220116041440153,0.04152494977380209,-0.0002302147652906366,0.00025599947821459274,0.022329765745740977,5.026658842167866e-05,0.011364649314980078,0.022061893650339434,3.109324368982747e-05,-5.007389868846608e-06,0.022113023736000915,5.529069693102304e-05,1.3072148670692988e-05,0.04111268833234857,0.00010276047803975134,2.1154063901340478e-05,0.04030254043948528,0.00010072197448884502,2.175469665885947e-07,0.02167727457166176,5.419283301612162e-05,4.984667958555464e-07,0.02141722988385696,5.35422651097492e-05,2.4525841810861158e-05,0.03981906353782592,9.950780265976702e-05,0.96,0.0,0.07503967095498228,0.20204893285246808,0.12092209299223276
0.018000000000000002,26.0,3434.5566035302613,1.4582564797729785e-05,0.04899885105664113,0.0001224721078038995,-5.7203621863314204e-06,0.019052805678515694,4.764182966353001e-05,1.04506713531259e-05,0.01867735977605357,4.667546841415001e-05,0.2110131459258425,0.048033302036461244,-0.00030511377215637056,-0.0013983206332589494,0.01845330263381801,4.827956856046071e-05,0.020259570178841595,0.02603272121673803,2.3988816228654132e-05,0.21446337575857924,0.047457085455773824,-0.0003118601873965693,-0.0020102597400836726,0.02551973228084684,6.315933200658062e-05,0.01617585873923362,0.025213592743245073,3.462235857066249e-05,-7.295869962798039e-06,0.025272027126858197,6.319258629181761e-05,1.9047410286693125e-05,0.04698592952268409,0.00011743214343503351,3.0823172536322157e-05,0.04606004621655462,0.00011509723038163322,3.171029800613738e-07,0.02477402808189916,6.193452633733143e-05,7.26766966549747e-07,0.02447683415297939,6.119083921545883e-05,3.5735876419314586e-05,0.04550750118608678,0.00011370743836068979,1.0971428571428574,0.0,0.07503564872515525,0.20099900989418323,0.12429886914837082
