t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma,input_sigma_diff,object_gui_cylinder_x,object_gui_cylinder_y,object_gui_cylinder_z
0.054,12.0,1377.7978223113782,0.04153645835360477,0.07994840186629988,0.00047773295623943033,0.03347209926113598,0.07837297510786999,0.0005564896691459969,-0.03408675977524211,0.06292213057014376,0.0011513721181419198,0.04066259671404563,0.07994840186629988,0.0004999129139483193,-0.03618138004746673,0.07743279806776814,0.0013389914354835202,0.0005511148856157687,0.07743279806776814,0.0009241681405733708,0.0003025553570193813,0.07837297510786999,0.000937241332998704,0.0004078826104323875,0.06168221575154115,0.000735827540289609,0.0018075725344501529,0.06094226421911063,0.0007119653220806189,2.08,0.0,0.04860793252178265,0.1253857213070818,0.0870213497853759
0.056,13.0,1508.5963121966226,0.043859212290593017,0.08302334039961909,0.0004978425845521718,0.034053315151177925,0.08138732030432651,0.0005749826525182864,-0.03513445231365119,0.06534221251514928,0.0011931476674846965,0.04205137463164944,0.08302334039961909,0.0005083289242268815,-0.037287153021475075,0.08041098260883613,0.0013991083518756341,0.0007364949539443008,0.08041098260883613,0.0009583184126786443,0.0003381787060967511,0.08138732030432651,0.0009730171793676855,0.0004560466755027963,0.06405460866506195,0.0007637607126555548,0.0020183786173986317,0.06328619745830719,0.0007377434990862845,2.1599999999999997,0.0,0.04869979826617518,0.12541516144742035,0.08706949831984782
0.058,12.0,1370.3968388383175,0.046601498543815394,0.08609827893293831,0.0005068687997081435,0.03421882465935323,0.08440166550078304,0.0006041802041952615,-0.036153708961384395,0.0677622944601548,0.001234760961285672,0.04300456943147831,0.08609827893293831,0.0005285628516154665,-0.037975200460592884,0.08338916714990414,0.0014481158420565506,0.0009551806947029095,0.08338916714990414,0.000991832066351518,0.000376500280232471,0.08440166550078304,0.0010087618415362356,0.0005078852120840665,0.06642700157858276,0.0007916514588369596,0.0022447619086130993,0.06563013069750374,0.0007633410249612613,2.2399999999999998,0.0,0.048780802649701076,0.12544382641367752,0.08711795506551837
0.06,12.0,1370.83237428769,0.04726968542970673,0.08917321746625755,0.0005108606270693058,0.03639111377902251,0.08741601069723959,0.0006383662324546364,-0.03710792080637801,0.07018237640516034,0.0012760330243985368,0.0462478136823186,0.08917321746625755,0.0005540237764173508,-0.040768978257582224,0.08636735169097215,0.0014921106258187805,0.001106916615370408,0.08636735169097215,0.001024946051955231,0.00041761978855063575,0.08741601069723959,0.0010444741250040853,0.0005635377673008246,0.06879939449210358,0.0008194981113602341,0.0024872403815348293,0.06797406393670032,0.0007887516243370467,2.32,0.0,0.04884549374457546,0.1254736955951513,0.08716535328060418
0.062,12.0,1368.968144633703,0.04880355958226632,0.09224815599957677,0.0005397416468384405,0.03774050100580013,0.09043035589369612,0.0006484709053760834,-0.03805111836858146,0.07260245835016588,0.0013165245498785267,0.04857401303223186,0.09224815599957677,0.000552004107807098,-0.04269808020324905,0.08934553623204015,0.0015613741738754686,0.0013108846794321078,0.08934553623204015,0.001058863435400037,0.0004616371140910741,0.09043035589369612,0.0010801528332617459,0.0006231444955370245,0.0711717874056244,0.0008472989956598829,0.0027463268681590693,0.07031799717589687,0.0008139690815323445,2.4,0.0,0.048909925574609873,0.12550253229512623,0.08721348561620591
0.064,13.0,1379.0907052954092,0.05198319343625088,0.095323094532896,0.0005582344194075562,0.03750021923143914,0.09344470109015267,0.0006684504010122305,-0.03898894367525504,0.0750225402951714,0.0013568839039650343,0.04912834042449301,0.095323094532896,0.0005609889780079696,-0.04297031645127687,0.09232372077310816,0.0016202616117162866,0.0015992435918569092,0.09232372077310816,0.0010921540331241127,0.0005086523203175693,0.09344470109015267,0.0011157967677127391,0.0006868461741016401,0.07354418031914521,0.0008750524298832983,0.003022528893327267,0.07266193041509345,0.0008389872425632126,2.48,0.0,0.04898928867756433,0.1255288093203663,0.08726396284846635
0.066,13.0,1377.2189987924844,0.05418684048002431,0.09839803306621522,0.0005569780755595721,0.03819702018506056,0.0964590462866092,0.0007075059246620407,-0.03987289115712739,0.07744262224017694,0.0013971787909851836,0.05062866062429398,0.09839803306621522,0.0005912363117006666,-0.043906237891719484,0.09530190531417616,0.0016592666611854364,0.0017741560213915958,0.09530190531417616,0.0011244319406678311,0.0005587656576540399,0.0964590462866092,0.0011514047275954997,0.0007547842182742285,0.07591657323266603,0.0009027567247027726,0.003316348510882676,0.07500586365429,0.0008638000171315529,2.56,0.0,0.04904730235837919,0.12555722214579143,0.08731171792131937
0.068,14.0,1511.2278712434706,0.05486817345869076,0.10147297159953446,0.0005674335734341218,0.04036717860570212,0.09947339148306575,0.0007353164555760623,-0.04069693526576765,0.07986270418518246,0.0014368271441077183,0.05361246228618654,0.10147297159953446,0.0006101317317028858,-0.04590868962187497,0.09828008985524418,0.001706235932963564,0.0017691241540703498,0.09828008985524418,0.001158071206006231,0.0006120775700490462,0.09947339148306575,0.0011869755099049404,0.0008271006957120157,0.07828896614618684,0.0009304101831349514,0.003628282141747752,0.07734979689348656,0.0008884013805912466,2.64,0.0,0.04909119212784144,0.12558556420287073,0.08735742439413544
0.07,14.0,1510.1697833834464,0.056619406424730526,0.10454791013285368,0.0005961568400899551,0.04151112007444181,0.10248773667952228,0.000745446696885842,-0.0415064135946329,0.082282786130188,0.0014757566567514678,0.05538419861305294,0.10454791013285368,0.0006112253741600057,-0.046533481491052145,0.10125827439631219,0.0017660035682182458,0.0017106942863844442,0.10125827439631219,0.001193869802906902,0.0006686887015689285,0.10248773667952228,0.0012225079093136787,0.0009039383402005005,0.08066135905970766,0.0009580111003679477,0.0039588204139810726,0.07969373013268313,0.0009127853758912247,2.72,0.0,0.04914182935581019,0.1256129179445264,0.08740302455148724
0.07200000000000001,14.0,1517.543620911557,0.059360067521843085,0.10762284866617292,0.0006120413068973087,0.04169222534282726,0.10550208187597883,0.0007678915416184443,-0.04229180953839755,0.08470286807519353,0.001514511380037917,0.056028413419832855,0.10762284866617292,0.0006268638006374398,-0.04586492869958504,0.10423645893738019,0.001809239285141188,0.0015996550856536282,0.10423645893738019,0.001230309175811949,0.000728699903019819,0.10550208187597883,0.001258000718092919,0.000985440564729932,0.08303375197322847,0.0009855577635963357,0.00430844800487074,0.08203766337187969,0.0009369461154947835,2.8000000000000003,0.0,0.04919208724251051,0.12563855439036545,0.08744855228609576
