t,ncon,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma,input_sigma_diff
0.02,0.0,3.6997109592910147e-06,0.027674446799873034,0.0003320616184967496,4.390136582243696e-05,0.02712910676810884,0.0003251721537003263,7.957548898479811e-05,0.021780737505049764,0.000260685180500741,3.941311365679291e-06,0.027674446799873034,0.00033205953699547836,3.542323839452301e-05,0.02680366086961205,0.000321339658955363,0.00010752366704218452,0.02680366086961205,0.0003207201312650363,1.3880856645356392e-05,0.02712910676810884,0.0003254300577273705,1.8648332594384855e-05,0.021351536221687322,0.00025605827854945117,8.385163835086737e-05,0.021095399152769066,0.00025242436612278086,0.7200000000000001,0.0
0.022,0.0,5.004149080715918e-06,0.030749385333192256,0.0003689482274667956,5.9298628905854884e-05,0.030143451964565374,0.00036119460718491526,0.00010746867800767233,0.02420081945005529,0.0002894549275328459,5.329407348234262e-06,0.030749385333192256,0.0003689453282619189,4.785164318259818e-05,0.02978184541068005,0.00035695706606742636,0.0001452109074983367,0.02978184541068005,0.0003560918609236544,1.875235567316048e-05,0.030143451964565374,0.0003615548532950402,2.519573121630726e-05,0.02372392913520813,0.00028446336963136495,0.00011324092328514663,0.023439332391965623,0.0002802657690433771,0.7999999999999999,0.0
0.024,0.0,6.586094334659115e-06,0.03382432386651148,0.00040583183660916915,7.792549538916876e-05,0.03315779716102191,0.00039718198238539263,0.00014120351326605797,0.026620901395060816,0.0003181611926046377,7.011946303594947e-06,0.03382432386651148,0.0004058279335099589,6.288955418032744e-05,0.03276002995174805,0.00039254613970278544,0.00019078954448144216,0.03276002995174805,0.00039137782853099657,2.4647451199628105e-05,0.03315779716102191,0.00039766853766418493,3.312042284261224e-05,0.026096322048728943,0.0003128535158101516,0.0001487835892871266,0.025783265631162185,0.00030804029649452445,0.8799999999999999,0.0
0.026000000000000002,0.0,8.473440266087381e-06,0.036899262399830705,0.00044271211566595256,0.00010008797972623275,0.03617214235747845,0.0004331306023450714,0.00018132982114040403,0.02904098334006635,0.0003467973579216035,9.018176193543224e-06,0.036899262399830705,0.0004427070054423254,8.078530521389782e-05,0.03573821449281606,0.00042810389926362883,0.0002450017525782209,0.03573821449281606,0.00042656909938001546,3.1663867326731524e-05,0.03617214235747845,0.0004337699388753458,4.255453381924454e-05,0.028468714962249758,0.0003412271344728858,0.00019105815131196732,0.02812719887035875,0.0003357409833728595,0.96,0.0
0.028,0.0,1.0694489294845192e-05,0.03997420093314994,0.0004795887299146062,0.00012609165797721822,0.039186487553934994,0.0004690367948905052,0.00022839560780273436,0.03146106528507188,0.0003753568255671777,1.1377681945204414e-05,0.03997420093314994,0.00047958219308347677,0.00010178717529139459,0.03871639903388407,0.0004636273647440421,0.00030858708655662605,0.03871639903388407,0.00046165676737567013,3.989939509649266e-05,0.039186487553934994,0.00046985788423929914,5.363045578914426e-05,0.030841107875770574,0.00036958264010341594,0.0002406410254047427,0.030471132109555314,0.0003633608874989202,1.04,0.0
0.03,0.0,1.3277989426849674e-05,0.043049139466469155,0.0005164613397260917,0.00015624162803899562,0.04220083275039152,0.0005048968931089717,0.0002829468960709763,0.0338811472300774,0.0004038330194672961,1.4120415832627723e-05,0.043049139466469155,0.0005164531414142874,0.00012614338294564715,0.04169458357495207,0.0004991135567959282,0.00038228224674422744,0.04169458357495207,0.0004966319578607453,4.9451898630315225e-05,0.04220083275039152,0.0005059312002635404,6.64808688104975e-05,0.03321350078929138,0.0003979184440020269,0.00029810634083199915,0.03281506534875187,0.0003908930918801656,1.1199999999999999,0.0
0.032,0.0,1.6253170842917163e-05,0.04612407799978838,0.0005533296001243384,0.00019084246989817965,0.04521517794684806,0.0005407072358257088,0.0003455275628836764,0.03630122917508294,0.0004322193873481436,1.7276727791126632e-05,0.04612407799978838,0.0005533194910074691,0.00015410208039803795,0.04467276811602008,0.0005345594967968931,0.0004668208453508726,0.04467276811602008,0.0005314858304313102,6.0419321282470983e-05,0.04521517794684806,0.000541988712578613,8.123876420906769e-05,0.0355858937028122,0.00042623295400802044,0.00036402575299705005,0.03515899858794844,0.00041833070696539726,1.2,0.0
0.034,0.0,1.9649782354759875e-05,0.04919901653310761,0.0005901931603471763,0.00023019820590886129,0.0482295231433046,0.0005764641680808771,0.00041667917744817257,0.03872131112008847,0.00046050940268645753,2.087739565854721e-05,0.04919901653310761,0.0005901808776637978,0.00018591134752818446,0.04765095265708808,0.0005699622069202805,0.0005629331738163311,0.04765095265708808,0.0005662095817408465,7.289969180886109e-05,0.0482295231433046,0.0005780292458642656,9.803746714207938e-05,0.03795828661633301,0.00045452457422548735,0.0004389682572059527,0.037502931827145,0.00044566687288977543,1.28,0.0
0.036000000000000004,0.0,2.3498127717735494e-05,0.05227395506642684,0.000627051663408865,0.0002746122610970644,0.05124386833976114,0.0006121640416062274,0.0004969408401150692,0.041141393065094,0.00048869656665175,2.4953655337635656e-05,0.05227395506642684,0.0006270369320492195,0.00022181918563452525,0.05062913719815609,0.0006053187102075349,0.00067134597126327,0.05062913719815609,0.0006007944482920772,8.699113055214548e-05,0.05124386833976114,0.0006140516237754274,0.00011701065885127843,0.04033067952985383,0.00048279170475254104,0.000523500003350807,0.039846865066341566,0.00047289476170962735,1.36,0.0
0.038,0.0,2.7829101789980047e-05,0.05534889359974607,0.00066390474566434,0.0003243874234939821,0.05425821353621768,0.0006478032153014474,0.0005868490220316186,0.04356147501009953,0.0005167744100398135,2.9537230873679988e-05,0.05534889359974607,0.0006638872793329013,0.000262073510970975,0.0536073217392241,0.0006406260306430748,0.0007927821941355216,0.0536073217392241,0.0006352317092155299,0.000102791855644303,0.05425821353621768,0.0006500546688679864,0.0001382923985829561,0.042703072443374644,0.0005110327414142804,0.000618184111576684,0.04219079830553813,0.0005000075796262478,1.4400000000000002,0.0
