t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_free_horizontal_y_axis_cylinder_radius2p5_x,object_free_horizontal_y_axis_cylinder_radius2p5_y,object_free_horizontal_y_axis_cylinder_radius2p5_z
0.0,23.0,11.75496085097413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.205,0.03
0.002,26.0,10.455762702471903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016902676791475697,0.0,0.0,-6.2605944508848375e-06,0.0,0.0,-4.1140786499452e-06,0.0,0.0,0.00017047083323466287,0.0,0.0,-8.959571410281606e-06,0.0,0.0,-4.25204399698548e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000120893703,0.20500616719793868,0.029992899943757322
0.004,27.0,8.453067133076337,-3.5745714815119045e-08,-0.0030624281910400708,-7.656070477600177e-06,1.4026828494726562e-08,-0.0011908003549072309,-2.9770008872680774e-06,-2.561977515240838e-08,-0.001167334986003348,-2.9183374650083703e-06,0.0006219641274536425,-0.0030020813772788277,-7.927770362983962e-06,-1.170043624862813e-05,-0.0011533314146136256,-2.867677050406852e-06,-1.1498339143292479e-05,-0.0016270450760461268,-4.057327493490454e-06,0.0006302522469207501,-0.002966067840985864,-7.841346685551318e-06,-2.555591026194792e-05,-0.0015949832675529274,-3.965059240356615e-06,-1.3896173866516149e-05,-0.001575849546452817,-3.928993756139579e-06,1.7887973395724743e-08,-0.0015795016954286373,-3.9487542385715935e-06,-4.669043227030055e-08,-0.002936620595167756,-7.34155148791939e-06,-7.555979832942034e-08,-0.002878752888534664,-7.1968822213366594e-06,-7.761855463746713e-10,-0.0015483767551186976,-3.870941887796744e-06,-1.7771247903559714e-09,-0.0015298021345612118,-3.8245053364030296e-06,-8.76051830857104e-08,-0.0028442188241304235,-7.110547060326059e-06,-0.06857142857142859,0.0,0.07500000660569099,0.2050241532302281,0.02997243966735836
0.006,27.0,6.7611524779385554,-1.7872780165452033e-07,-0.0061248563820801415,-1.5312051590913316e-05,7.013295928047245e-08,-0.0023816007098144618,-5.9540368416073914e-06,-1.2809786975802568e-07,-0.002334669972006696,-5.83661088057886e-06,0.0012969216934052717,-0.0060041627545576555,-1.6565317205028244e-05,-1.3668937667001016e-05,-0.0023066628292272512,-5.737405982446558e-06,-2.1170192445513595e-05,-0.0032540901520922536,-8.106479532372403e-06,0.0013141542706517776,-0.005932135681971728,-1.6405969822231196e-05,-4.321361939914051e-05,-0.003189966535105855,-7.911026562109767e-06,-2.1983727606057435e-05,-0.003151699092905634,-7.844507297597796e-06,8.943875738518158e-08,-0.0031590033908572746,-7.897553197076676e-06,-2.3345111455888389e-07,-0.005873241190335512,-1.4682986249758103e-05,-3.7779659900299226e-07,-0.005757505777069328,-1.4393575543177496e-05,-3.881119707576576e-09,-0.003096753510237395,-7.741881835129621e-06,-8.886402469671572e-09,-0.0030596042691224236,-7.649006229994084e-06,-4.380226925197832e-07,-0.005688437648260847,-1.4220875107694403e-05,-0.13714285714285718,0.0,0.07500001206598798,0.20505134851445442,0.029941588457825345
0.008,22.0,5.1888022649857914,-5.004338280707978e-07,-0.009187284573120211,-2.2967764613296393e-05,1.9636613343928537e-07,-0.003572401064721692,-8.931177994202432e-06,-3.5866880414835806e-07,-0.0035020049580100437,-8.754692150350714e-06,0.0021424703443170554,-0.009006244131836483,-2.5757914563104387e-05,-1.6272516726919258e-05,-0.0034599942438408764,-8.615813265434688e-06,-3.13353339911272e-05,-0.00488113522813838,-1.2149912589232166e-05,0.0021695268282723957,-0.00889820352295759,-2.553089448402342e-05,-6.074787369765591e-05,-0.004784949802658782,-1.1854340458149102e-05,-3.6003740235963936e-05,-0.0047275486393584506,-1.1763912279380982e-05,2.504227508315126e-07,-0.004738505086285911,-1.1846486312608242e-05,-6.536576774697829e-07,-0.008809861785503265,-2.2024070835971764e-05,-1.057818035539968e-06,-0.00863625866560399,-2.1589702172512466e-05,-1.0868133455377698e-08,-0.004645130265356092,-1.161281596059096e-05,-2.4885975155086085e-08,-0.004589406403683635,-1.1473493793202913e-05,-1.226446780056773e-06,-0.00853265647239127,-2.1330546124246876e-05,-0.20571428571428574,0.0,0.07500002430606892,0.20508599771520278,0.029902448533164403
0.01,18.0,3.866184046771175,-1.0723451824420581e-06,-0.012249712764160283,-3.062303082583053e-05,4.207646269167004e-07,-0.0047632014196289235,-1.1908494464405908e-05,-7.68559050950173e-07,-0.004669339944013392,-1.1672453188023112e-05,0.0031156534197128417,-0.012008325509115311,-3.5376989633580916e-05,-2.0296482585540743e-05,-0.0046133256584545024,-1.1492632854318959e-05,-4.487217179262765e-05,-0.006508180304184507,-1.619211242548345e-05,0.0031541394162916386,-0.011864271363943456,-3.5084495480539625e-05,-8.286524911386247e-05,-0.00637993307021171,-1.5797962991285134e-05,-5.3291160050413666e-05,-0.006303398185811268,-1.566848611393826e-05,5.366014761226427e-07,-0.006318006781714549,-1.579564301116345e-05,-1.400677377451757e-06,-0.011746482380671023,-2.9364571807483885e-05,-2.266712600873434e-06,-0.011515011554138655,-2.8784884340257793e-05,-2.329209357072115e-08,-0.00619350702047479,-1.5483740380853337e-05,-5.334021273565901e-08,-0.006119208538244847,-1.5297959130674232e-05,-2.6280459150699246e-06,-0.011376875296521694,-2.8439122124354093e-05,-0.27428571428571435,0.0,0.07500004340987272,0.20512649033127997,0.029856889881358605
0.012,18.0,2.744957725800053,-1.965933984786758e-06,-0.01531214095520035,-3.8277671525044765e-05,7.713525188001993e-07,-0.005954001774536153,-1.4886056347907673e-05,-1.4089830119112798e-06,-0.005836674930016739,-1.4589765927414471e-05,0.004179342315005841,-0.015010406886394136,-4.531515076526744e-05,-2.339827595430241e-05,-0.005766657073068127,-1.4365901476206467e-05,-6.220790268460385e-05,-0.008135225380230631,-2.0225883021095006e-05,0.004230849134525291,-0.014830339204929318,-4.496119655305239e-05,-0.00010818797108798421,-0.007974916337764634,-1.9730127721626927e-05,-7.252412020096032e-05,-0.007879247732264083,-1.9564891430534174e-05,9.83723141497744e-07,-0.007897508477143185,-1.9745112696548272e-05,-2.5678649101052536e-06,-0.014683102975838774,-3.6704255746153306e-05,-4.15554007823111e-06,-0.014393764442673315,-3.597874432518111e-05,-4.2710170555647596e-08,-0.007741883775593486,-1.9354651208749788e-05,-9.782282598940779e-08,-0.007649010672806057,-1.9122393331483304e-05,-4.817949895201655e-06,-0.014221094120652113,-3.554616518684261e-05,-0.34285714285714286,0.0,0.0750000687672523,0.20517137561362572,0.029806550681693005
0.014,15.0,1.7993237859904134,-3.2526599981331127e-06,-0.018374569146240423,-4.593150803063909e-05,1.2761349607654867e-06,-0.007144802129443384,-1.786393370490546e-05,-2.3311389956616396e-06,-0.007004009916020087,-1.750650233252044e-05,0.0053022205715956856,-0.018012488263672966,-5.547957644669701e-05,-2.2265942455561934e-05,-0.006919988487681753,-1.7241475529318626e-05,-8.097337273239328e-05,-0.00976227045627676,-2.4250156383980387e-05,0.005368285445360666,-0.01779640704591518,-5.5068140451101184e-05,-0.00013400357685235744,-0.009569899605317563,-2.365427908557395e-05,-8.97581367541832e-05,-0.009455097278716901,-2.3456432896289853e-05,1.6275182041516827e-06,-0.009477010172571822,-2.36949847392833e-05,-4.248558224019802e-06,-0.01761972357100653,-4.404288926524107e-05,-6.875321973635248e-06,-0.01727251733120798,-4.317090447782437e-05,-7.068260655533763e-08,-0.009290260530712184,-2.322554455135407e-05,-1.6191997863982263e-07,-0.00917881280736727,-2.2946787461353205e-05,-7.971236959553433e-06,-0.01706531294478254,-4.265123748721835e-05,-0.4114285714285715,0.0,0.07500009864475111,0.20521942686414918,0.029752811505490417
0.016,15.0,1.0093989617574421,-5.00396754066485e-06,-0.021436997337280488,-5.3584361693205884e-05,1.9630934481575704e-06,-0.008335602484350613,-2.0842196548278448e-05,-3.5862051967838298e-06,-0.008171344902023434,-2.042253440756943e-05,0.0064630509497427355,-0.02101456964095179,-6.579197553136868e-05,-2.4434494785139872e-05,-0.008073319902295376,-2.0127634899599537e-05,-9.82045930605004e-05,-0.011389315532322884,-2.827085539897623e-05,0.00654536830140473,-0.020762474886901045,-6.532690083065428e-05,-0.00016723646021000755,-0.011164882872870489,-2.7577198240045328e-05,-0.00010327880160430489,-0.011030946825169717,-2.7352971721038834e-05,2.503694934428543e-06,-0.011056511868000458,-2.7645348465511526e-05,-6.536074335353923e-06,-0.020556344166174283,-5.1380239019875655e-05,-1.0577031950669146e-05,-0.02015127021974264,-5.036098724442251e-05,-1.087734832942962e-07,-0.01083863728583088,-2.709641650806081e-05,-2.4923339792777504e-07,-0.01070861494192848,-2.67711325548746e-05,-1.2262920905430582e-05,-0.01990953176891296,-4.975390132988351e-05,-0.48,0.0,0.07500013094790908,0.20526960714775078,0.02969683703839078
0.018000000000000002,16.0,0.38167068169632734,-7.291282398865033e-06,-0.024499425528320566,-6.123605390194975e-05,2.8601810931734877e-06,-0.009526402839257847,-2.382091483176501e-05,-5.22533567656677e-06,-0.009338679888026785,-2.3337734207075003e-05,0.007642381533422618,-0.024016651018230622,-7.61992549199334e-05,-3.308948531762717e-05,-0.009226651316909005,-2.3005542055309663e-05,-0.00011481547177370902,-0.013016360608369014,-3.229539003827128e-05,0.007738858468634744,-0.023728542727886912,-7.568477757322911e-05,-0.00020243867194419873,-0.01275986614042342,-3.148157420053353e-05,-0.00011510090146078401,-0.012606796371622537,-3.125879392504558e-05,3.647934981415231e-06,-0.012636013563429098,-3.159629314590882e-05,-9.52370514336955e-06,-0.023492964761342047,-5.871607171751673e-05,-1.5411586268157694e-05,-0.02303002310827731,-5.754861519081661e-05,-1.5855149003068285e-07,-0.01238701404094958,-3.0967263168665716e-05,-3.6338348327487775e-07,-0.012238417076489694,-3.0595419607729416e-05,-1.7867938209657296e-05,-0.02275375059304339,-5.6853719180344895e-05,-0.5485714285714287,0.0,0.07500016524547215,0.20532105266226547,0.029639592202436393
0.02,17.0,0.0,-1.0186008741879586e-05,-0.02756185371936063,-6.888640609240442e-05,3.995317900613321e-06,-0.010717203194165076,-2.6800158438145627e-05,-7.299656345816468e-06,-0.01050601487403013,-2.6251973845883908e-05,0.008824851315537497,-0.027018732395509445,-8.665278482233015e-05,-4.3435725727156315e-05,-0.010379982731522628,-2.5867233115512504e-05,-0.00013221043519808038,-0.014643405684415139,-3.6321475531603576e-05,0.008934168767069444,-0.026694610568872776,-8.60836725937688e-05,-0.00023679996997150144,-0.014354849407976345,-3.538102684008036e-05,-0.0001266887205494497,-0.014182645918075353,-3.5168862541536424e-05,5.095888940246027e-06,-0.014215515258857734,-3.554790798459787e-05,-1.3304713247132867e-05,-0.026429585356509796,-6.605015412841608e-05,-2.1529834221409152e-05,-0.025908775996811968,-6.473341102635952e-05,-2.215906915327617e-07,-0.013935390796068276,-3.483808061144561e-05,-5.080124126145411e-07,-0.013768219211050904,-3.4419639568919076e-05,-2.4961135155476824e-05,-0.025597969417173808,-6.395025369741038e-05,-0.6171428571428572,0.0,0.07500019936565354,0.20537303702165066,0.029581846571655378
0.022,17.0,0.0,-1.3759526037322081e-05,-0.0306242819104007,-7.653523975414705e-05,5.3963860466659e-06,-0.011908003549072305,-2.97799971674323e-05,-9.860260950097357e-06,-0.011673349860033478,-2.9165125509219153e-05,0.010006376782457237,-0.03002081377278827,-9.711416272081441e-05,-5.3201368350146474e-05,-0.011533314146136254,-2.8724696051022743e-05,-0.00015038187837246168,-0.016270450760461262,-4.034560081315796e-05,0.01012865048206971,-0.029660678409858636,-9.64871179423202e-05,-0.000270856845943144,-0.01594983267552927,-3.928258176389442e-05,-0.00013894256369124662,-0.015758495464528167,-3.907951685994679e-05,6.883171921428821e-06,-0.01579501695428637,-3.950028210806654e-05,-1.797232776359331e-05,-0.02936620595167755,-7.338225309607604e-05,-2.9082548587665207e-05,-0.02878752888534663,-7.191499762781304e-05,-2.994712960814076e-07,-0.015483767551186972,-3.87088649012386e-05,-6.867872459672031e-07,-0.015298021345612114,-3.824378333299875e-05,-3.3717254966051346e-05,-0.028442188241304227,-7.104306776537188e-05,-0.6857142857142857,0.0,0.0750002328610584,0.20542514503286996,0.029524006324876523
0.024,17.0,0.0,-1.8083185968741206e-05,-0.033686710101440774,-8.418237643850863e-05,7.0912251611953055e-06,-0.013098803903979536,-3.276050072506551e-05,-1.2958207057777544e-05,-0.012840684846036825,-3.2077061462716825e-05,0.01118684715240343,-0.0330228951500671,-0.00010757317983131085,-6.231641340765657e-05,-0.012686645560749879,-3.158361048099933e-05,-0.00016940998916416578,-0.01789749583650739,-4.436778489533732e-05,0.01132220482576009,-0.0326267462508445,-0.00010688849183228555,-0.0003045678800828893,-0.017544815943082197,-4.318489774284763e-05,-0.0001519314923812767,-0.017334345010980984,-4.2988506118224346e-05,9.045359122503547e-06,-0.017374518649715006,-4.3453504554091086e-05,-2.3619740147252347e-05,-0.032302826546845305,-8.071213554770428e-05,-3.822041607640602e-05,-0.0316662817738813,-7.909299806323408e-05,-3.9378042350256e-07,-0.01703214430630567,-4.2579612087523976e-05,-9.034030258364939e-07,-0.016827823480173327,-4.2067841732318404e-05,-4.431092494557559e-05,-0.03128640706543465,-7.813172452617151e-05,-0.7542857142857143,0.0,0.07500026659318415,0.20547719014726937,0.029466224352215162
0.026000000000000002,18.0,0.0,-2.322830935497222e-05,-0.036749138292480846,-9.182763776628026e-05,9.107627613993939e-06,-0.014289604258886769,-3.574173871011991e-05,-1.664451205125106e-05,-0.014008019832040175,-3.498765406245599e-05,0.01236615169253434,-0.03602497652734593,-0.0001180295591993734,-7.071094385623349e-05,-0.013839976975363506,-3.444415140488962e-05,-0.00018937488750524217,-0.01952454091255352,-4.8387827308473385e-05,0.012514733047426648,-0.03559281409183036,-0.00011728754729397613,-0.0003378917109375727,-0.019139799210635126,-4.708807832638059e-05,-0.0001657245137491874,-0.018910194557433802,-4.6895657662631315e-05,1.1617981402343175e-05,-0.018954020345143645,-4.7407664260665375e-05,-3.0340100011633514e-05,-0.03523944714201306,-8.803956850466453e-05,-4.909402778515675e-05,-0.03454503466241596,-8.626703561584887e-05,-5.061128732334642e-07,-0.018580521061424368,-4.6450318202502166e-05,-1.1615858740034197e-06,-0.01835762561473454,-4.589180552927176e-05,-5.6916643629017645e-05,-0.03413062588956508,-8.521578741154875e-05,-0.822857142857143,0.0,0.0750003003253099,0.20552923526166877,0.0294084423795538
0.028,17.0,0.0,-2.926618307159354e-05,-0.03981156648352092,-9.947084543541487e-05,1.1473333805467552e-05,-0.015480404613794001,-3.872378060351999e-05,-2.097014912170987e-05,-0.015175354818043526,-3.789677576498069e-05,0.013544179724453998,-0.03902705790462476,-0.00012848302399289777,-7.831513446554639e-05,-0.014993308389977133,-3.730649361530225e-05,-0.0002103566185985904,-0.021151585988599647,-5.2405527752736014e-05,0.013706136437869134,-0.03855888193281624,-0.0001276840374506072,-0.0003707870420666421,-0.020734782478188055,-5.0992226918126205e-05,-0.00018039057507584385,-0.020486044103886623,-5.080079897534359e-05,1.4636520858407332e-05,-0.020533522040572287,-5.136285005493658e-05,-3.822651095276488e-05,-0.038176067737180824,-9.536431909292297e-05,-6.185386966144168e-05,-0.03742378755095063,-9.343673380791369e-05,-6.380718924264796e-07,-0.02012889781654307,-5.032097925917459e-05,-1.4650960842960274e-06,-0.019887427749295753,-4.971566540855437e-05,-7.170876794149974e-05,-0.036974844713695505,-9.229482017516622e-05,-0.8914285714285717,0.0,0.07500033405743564,0.20558128037606818,0.02935066040689244
