t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_uniform_close,input_uniform_diff,object_adaptive_sphere_x,object_adaptive_sphere_y,object_adaptive_sphere_z
0.02,1.0,0.0,2.635428773691532e-06,0.08000000000000002,0.00047998870033974614,5.586030155742116e-05,0.08000000000000002,0.0004797600847930246,0.00016066889716772617,0.08000000000000002,0.0004793098845683844,3.128849955722669e-06,0.08000000000000002,0.0004799865744371435,5.540345118438511e-05,0.08000000000000002,0.0004797620532703934,0.00016065062130310958,0.08000000000000002,0.0004793099632491955,3.1288499557226695e-06,0.08000000000000002,0.0004799865744371435,5.540345118438512e-05,0.08000000000000002,0.0004797620532703934,0.00016065062130310958,0.08000000000000002,0.0004793099632491955,0.7200000000000002,0.0,0.046955089668915484,0.12500000085011176,0.07850001416800483
0.022,1.0,0.0,3.5836834839447166e-06,0.08888888888888889,0.0005333175207606911,7.544126843701189e-05,0.08888888888888889,0.0005329981715239888,0.00021701322789082817,0.08888888888888889,0.000532369319950327,4.230960108785522e-06,0.08888888888888889,0.000533314560233599,7.484202031889534e-05,0.08888888888888889,0.000533000912626227,0.00021698922977045698,0.08888888888888889,0.0005323694296055148,4.230960108785522e-06,0.08888888888888889,0.000533314560233599,7.484202031889534e-05,0.08888888888888889,0.000533000912626227,0.00021698922977045698,0.08888888888888889,0.0005323694296055148,0.8,0.0,0.0472276229125842,0.12500000110729081,0.07850001845416868
0.024,1.0,0.0,4.765877313109054e-06,0.09777777777777777,0.0005866451645657629,9.910351691479922e-05,0.09777777777777777,0.0005862140190560446,0.0002851716220959969,0.09777777777777777,0.0005853645872993216,5.566938716500295e-06,0.09777777777777777,0.0005866412809060139,9.836198412908767e-05,0.09777777777777777,0.0005862176145447533,0.00028514188368380683,0.09777777777777777,0.0005853647312880439,5.566938716500296e-06,0.09777777777777777,0.0005866412809060139,9.836198412908767e-05,0.09777777777777777,0.0005862176145447533,0.0002851418836838069,0.09777777777777777,0.0005853647312880439,0.88,0.0,0.04749985431064515,0.1250000013644236,0.07850002301041575
0.026000000000000002,2.0,77.67806356673431,6.157058077615248e-06,0.10666666666666666,0.0006399714047361213,0.00012728010822482888,0.10666666666666666,0.0006394053788985111,0.0003662640208869579,0.10666666666666666,0.000638288970267424,7.108191056306083e-06,0.10666666666666666,0.0006399665983677009,0.00012639979031335157,0.10666666666666666,0.0006394098280952254,0.0003662286530438997,0.10666666666666666,0.0006382891486978971,7.160053057198652e-06,0.10666666666666666,0.0006399665983677009,0.00012635175705085427,0.10666666666666666,0.0006394098280952254,0.0003662267386747021,0.10666666666666666,0.0006382891486978971,0.96,0.0,0.047760781974784505,0.12500000189450386,0.07850003196692118
0.028,2.0,87.10230247136109,7.688189795327227e-06,0.11555555555555558,0.0006932963909848678,0.00016044510677760005,0.11555555555555558,0.0006925696526839845,0.00046141004957338813,0.11555555555555558,0.0006911357492080117,8.77987227024942e-06,0.11555555555555558,0.0006932906841869956,0.0001594348959883222,0.11555555555555558,0.0006925749345914533,0.00046136937209798247,0.11555555555555558,0.0006911359614150701,9.033848432058565e-06,0.11555555555555558,0.0006932903730149903,0.00015919967191140917,0.11555555555555558,0.0006925752227910284,0.0004613599961991122,0.11555555555555558,0.0006911359729012853,1.0400000000000003,0.0,0.048009237498576655,0.1250000027235993,0.07850004589450092
0.03,2.0,104.31999439816377,9.385498141650812e-06,0.12444444444444445,0.0007466205375278948,0.00019898453173934763,0.12444444444444445,0.0007457039960260012,0.0005717237011857399,0.12444444444444445,0.0007438982063692265,1.061031265691365e-05,0.12444444444444445,0.0007466139874330453,0.0001978513831850533,0.12444444444444445,0.0007457100572907368,0.0005716779509529389,0.12444444444444445,0.0007438984504340788,1.1212173331190879e-05,0.12444444444444445,0.0007466124635760745,0.00019729397228816206,0.12444444444444445,0.0007457114686351983,0.0005716557271981715,0.12444444444444445,0.0007438985066894721,1.12,0.0,0.048232388859390796,0.1250000041478269,0.07850006971702625
0.032,2.0,116.45951269086385,1.1273500141745078e-05,0.13333333333333336,0.0007999436870111503,0.0002432861802727857,0.13333333333333336,0.000798806092809564,0.0006983167424873874,0.13333333333333336,0.0007965696577928857,1.2625671796119292e-05,0.13333333333333336,0.0007999363381240586,0.0002420355391706472,0.13333333333333336,0.0007988128917008898,0.0006982660908212979,0.13333333333333336,0.0007965699322942825,1.3719204571066215e-05,0.13333333333333336,0.000799932726960013,0.0002410228048080245,0.13333333333333336,0.0007988162361662713,0.000698225696109383,0.13333333333333336,0.0007965700656368111,1.2000000000000002,0.0,0.04843373284449131,0.1250000060582325,0.07850010162761788
0.034,2.0,119.99998316948123,1.3375853286714215e-05,0.14222222222222222,0.0008532656923324829,0.00029373885671148445,0.14222222222222222,0.0008518736162516967,0.0008422985078973583,0.14222222222222222,0.000849143432878409,1.4851152164730324e-05,0.14222222222222222,0.0008532575793025567,0.000292374748187606,0.14222222222222222,0.0008518811200983094,0.0008422430644228052,0.14222222222222222,0.0008491437367884056,1.657947240095981e-05,0.14222222222222222,0.0008532510181059069,0.00029077421138190237,0.14222222222222222,0.0008518871965044852,0.0008421791852584963,0.14222222222222222,0.000849143979156677,1.28,0.0,0.04861312161660413,0.12500000845558826,0.07850014164220838
0.036000000000000004,2.0,119.99998316985273,1.5715568131775573e-05,0.1511111111111111,0.0009065864115469465,0.00035073219102565377,0.1511111111111111,0.0009049042335263978,0.001004775717375769,0.1511111111111111,0.0009016128756192826,1.7311215575026594e-05,0.1511111111111111,0.0009065775597536783,0.00034925730649482947,0.1511111111111111,0.000904912418177541,0.0010047155336716943,0.1511111111111111,0.0009016132082801299,1.9817885576132703e-05,0.1511111111111111,0.0009065671898322609,0.0003469361213691149,0.1511111111111111,0.0009049220213983752,0.0010046228196622002,0.1511111111111111,0.0009016135915551157,1.36,0.0,0.04877207439191508,0.12500001134411548,0.07850018983381511
0.038,2.0,119.99998317024478,1.8315035232932664e-05,0.16000000000000003,0.0009599057065912096,0.0004146566290424143,0.16000000000000003,0.0009578956068538462,0.0011868523016412742,0.16000000000000003,0.0009539713456957456,2.00294905541028e-05,0.16000000000000003,0.0009598961327065501,0.0004130725234427624,0.16000000000000003,0.0009579044561610312,0.001186787379254315,0.16000000000000003,0.0009539717067979699,2.345975639551171e-05,0.16000000000000003,0.0009598810926865433,0.000409896343666464,0.16000000000000003,0.0009579183832717856,0.0011866603922716969,0.16000000000000003,0.000953972263082027,1.4400000000000004,0.0,0.04891282227877074,0.1250000147319188,0.07850024633988349
