t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma,input_sigma_diff,object_horizontal_cylinder_x,object_horizontal_cylinder_y,object_horizontal_cylinder_z
0.02,17.0,612.8740086505156,2.67326882914446e-05,0.03014577750555069,0.00018075984592981264,-1.047915595793608e-05,0.01172194099361805,7.037666533382495e-05,1.9154325123842758e-05,0.011490953768470456,6.886344778944916e-05,-0.0074789212950378695,0.029551738557588456,0.0001781241946892886,0.008685970227258203,0.011353106112602875,6.535665114899607e-05,0.006096870553087452,0.016016224967329056,6.097969094456032e-05,0.06813446661728559,0.029197230309704596,-0.00012451115080250498,-0.06613775457586729,0.015700616539974125,0.00039688252668717547,0.005364880458226276,0.015512268972894915,5.7258236872169956e-05,-1.336868597279519e-05,0.015548219814375645,9.334674715110602e-05,3.491730317458695e-05,0.028907358983682588,0.00017329418074705765,5.649851553360895e-05,0.02833772374651309,0.00016978366759365723,5.830640431733817e-07,0.015241833683199677,9.144850029064139e-05,1.3391596895931043e-06,0.015058989762086927,9.034819654569703e-05,6.549967867006984e-05,0.02799777905003385,0.00016770533185580058,0.675,0.0,0.07433194088081768,0.13496967196482593,0.08581227679171294
0.022,16.0,312.3505110573668,3.610929854579254e-05,0.03349530833950076,0.0002008114539072559,-1.4151028938795391e-05,0.013024378881797832,7.820914822653461e-05,2.5870869271216465e-05,0.012767726409411614,7.649143250572662e-05,-0.017843763048346485,0.032835265063987165,0.0002418851181541502,0.01971628449738004,0.012614562347336525,2.3571552720469933e-05,0.006427722816129976,0.017795805519254505,7.019360979700232e-05,0.08974335901064603,0.03244136701078288,-0.00021415859763901626,-0.08474293776390228,0.017445129488860137,0.0005014973043883646,0.0045035494721566245,0.01723585441432768,7.122584373660844e-05,-1.8054740618278714e-05,0.017275799793750716,0.00010373501087834107,4.71645421918554e-05,0.032119287759647314,0.00019250622273883638,7.631239449832266e-05,0.03148635971834787,0.00018857916721688557,7.884636905529661e-07,0.016935370759110748,0.00010160872617040546,1.812344934614812e-06,0.016732210846763247,0.00010038523012244192,8.846833550460169e-05,0.031108643388926494,0.00018625886226153856,0.7499999999999999,0.0,0.0738929128393428,0.13494511476468318,0.0864143540003304
0.024,11.0,134.31641830343634,4.745313316187805e-05,0.03684483917345084,0.00022085237924943031,-1.8591141260830628e-05,0.014326816769977617,8.604580679349848e-05,3.399546092821205e-05,0.014044499050352776,8.411176908648935e-05,-0.030176242461874503,0.03611879157038589,0.00032377532771239427,0.03232141781260276,0.013876018582070179,-3.504159549185917e-05,0.006944042111862512,0.019575386071179958,7.888597953029989e-05,0.11518189510587745,0.03568550371186117,-0.0003243471317927092,-0.10730847895442996,0.01918964243774615,0.0006235954812098906,0.0037082300202831283,0.01895943985576045,8.673534230162295e-05,-2.372218932034517e-05,0.019003379773125786,0.00011412860708246439,6.198117490158086e-05,0.035331216535612046,0.00021170431196052114,0.00010028141448248674,0.03463499569018266,0.00020735209977410603,1.0374609359401632e-06,0.018628907835021826,0.00011176871622798765,2.386776058994195e-06,0.018405431931439575,0.00011042171751902975,0.00011625263433314371,0.03421950772781915,0.00020478623635388727,0.825,0.0,0.07341732650876154,0.13490639758085346,0.08707653980750726
0.026000000000000002,16.0,112.40061480893866,6.095078312542746e-05,0.04019437000740091,0.0002408815012454342,-2.3871489413958262e-05,0.0156292546581574,9.388707479650938e-05,4.3661205657880436e-05,0.015321271691293938,9.172365738219435e-05,-0.0433724735333636,0.0394023180767846,0.0004174713632319546,0.04531499545419672,0.015137474816803831,-0.00010310365797479358,0.007692287262323893,0.021354966623105407,8.646554706745737e-05,0.14361647150265308,0.038929640412939455,-0.00045751352815762803,-0.13337166263609507,0.020934155386632167,0.0007694558060463729,0.0031640696943712977,0.02068302529719322,0.00010184877166146054,-3.0463401051208725e-05,0.020730959752500857,0.00012452809165092722,7.961086998659075e-05,0.03854314531157678,0.0002308869848200512,0.0001287989373091486,0.037783631662017446,0.00022610010148520977,1.3343980669692364e-06,0.0203224449109329,0.00012192844469998176,3.0728641739854527e-06,0.0200786530161159,0.00012045759744034142,0.00014930802163541084,0.037330372066711796,0.0002232847165942719,0.8999999999999999,0.0,0.07290393321485956,0.13485485213306778,0.08778719745976776
0.028,11.0,64.13285231080036,7.678862596094135e-05,0.043543900841351,0.00026089770034935344,-3.0063743283746092e-05,0.016931692546337185,0.00010173338421450687,5.50009312616674e-05,0.016598044332235103,9.932629875946334e-05,-0.056929092097067945,0.04268584458318333,0.0005163499086992817,0.058573125307881675,0.016398931051537488,-0.0001734963864159554,0.00848353493338511,0.02313454717503086,9.265355947624179e-05,0.17402912406932725,0.04217377711401775,-0.000608656166331812,-0.1622328952520985,0.02267866833551818,0.0009363019858296796,0.0030278146768267815,0.02240661073862599,0.00011545524626552815,-3.837043812113196e-05,0.022458539731875934,0.00013493401879756286,0.0001002970065842143,0.04175507408754152,0.0002500527793053296,0.00016225766346983933,0.04093226763385224,0.0002448208121792586,1.6836705986576516e-06,0.02201598198684398,0.00013208788553266206,3.88123494583701e-06,0.021751874100792226,0.00013049280741970944,0.00018808905349514425,0.04044123640560445,0.00024175157030381425,0.9750000000000001,0.0,0.07237631056540528,0.13478473109516717,0.08853162272891629
0.03,11.0,53.34715418531664,9.515280647009356e-05,0.046893431675301064,0.0002808998582960407,-3.723921676317673e-05,0.018234130434516965,0.00010958516506680428,6.814716277109349e-05,0.01787481697317626,0.00010691889625148756,-0.07043149380606036,0.04596937108958203,0.0006173907791198998,0.07202831816628621,0.017660387286271135,-0.00024547642812966324,0.009147162128210384,0.024914127726956305,9.858355676142718e-05,0.20507590621716143,0.04541791381509603,-0.0007716672615253874,-0.19228881264995934,0.02442318128440419,0.001119936459219016,0.0031673524223458692,0.024130196180058752,0.00012661428901939182,-4.753502850204778e-05,0.024186119711250998,0.00014534694089623278,0.00012428264810165923,0.04496700286350624,0.00026920023514153215,0.0002010495724240227,0.04408090360568702,0.0002635118756533031,2.0897321147743888e-06,0.023709519062755046,0.00014224701235293833,4.8227478256415815e-06,0.023425095185468547,0.00014052728370313625,0.0002330493153143098,0.04355210074449709,0.0002601840701460117,1.0499999999999998,0.0,0.0718339383229032,0.13469647599112,0.08930097122581067
0.032,11.0,51.120544871194376,0.0001162292175085482,0.05024296250925114,0.0003008868582166863,-4.5468838445264544e-05,0.019536568322696752,0.00011744284523675959,8.323209750419152e-05,0.019151589614117424,0.00011450065470807799,-0.0839242753644023,0.049252897595980755,0.0007181063484122467,0.0855672569181931,0.01892184352100479,-0.00031863884787168854,0.009765184673512688,0.02669370827888176,0.00010527927690402826,0.23630010589295677,0.048662050516174324,-0.0009384831342059226,-0.22287970298710477,0.02616769423329021,0.0013107390412994972,0.003478926262815269,0.025853781621491524,0.00013611857519487395,-5.8048538205088654e-05,0.025913699690626076,0.00015576740831476876,0.0001518105160681359,0.04817893163947098,0.0002883278939482159,0.00024556586301080133,0.047229539577521816,0.0002821709400305868,2.5570991098518006e-06,0.025403056138666127,0.00015240579843930812,5.908515205800672e-06,0.025098316270144874,0.0001505609611339154,0.00028464134170324857,0.04666296508338975,0.00027857949460845266,1.125,0.0,0.07127771221906656,0.1345856092186494,0.09008183106225601
0.034,12.0,51.05355913719861,0.00014020348080450297,0.05359249334320122,0.00032085758475415603,-5.482312240347913e-05,0.020839006210876535,0.0001253068502959308,0.00010038758019227043,0.020428362255058584,0.00012207078094532637,-0.0974396259738803,0.05253642410237947,0.0008187641968006907,0.09911440956839358,0.020183299755738442,-0.00039230374297472795,0.01039310389400931,0.02847328883080721,0.00011224862494376713,0.26740338575431893,0.05190618721725261,-0.001106363512054225,-0.2535851022588854,0.027912207182176223,0.001504751461015686,0.0038981409844124904,0.027577367062924293,0.00014459064480065414,-7.000194371666887e-05,0.027641279670001146,0.0001661959692492374,0.00018312296402689547,0.05139086041543571,0.00030743429939620546,0.00029619689398256645,0.0503781755493566,0.0003007956581180748,3.090355831884309e-06,0.027096593214577202,0.0001625642166928041,7.1499214968015794e-06,0.026771537354821198,0.0001605937730376924,0.000343316536561938,0.049773829422282395,0.00029693512848347485,1.2,0.0,0.0707045172208127,0.13445123372774315,0.09086592847899062
0.036000000000000004,12.0,50.7358024121212,0.00016726092782225863,0.0569420241771513,0.0003408109241780808,-6.537213906690853e-05,0.022141444099056322,0.0001331776033287588,0.00011974507818255844,0.021705134895999748,0.00012962848389484486,-0.11095857529233259,0.055819950608778195,0.0009195574594959509,0.11265358638723744,0.0214447559904721,-0.0004660179214675289,0.011029702974894851,0.030252869382732667,0.00011915859293234014,0.2982460602610592,0.055150323918330905,-0.0012735183710159282,-0.28429868064019365,0.02965672013106224,0.001699450934339686,0.004438819948907851,0.029300952504357065,0.00015241686911966746,-8.348580449775501e-05,0.02936885964937622,0.00017663316955855734,0.0002184619514703414,0.05460278919140045,0.00032651799736424134,0.00035333212467025793,0.053526811521191396,0.000319383687763253,3.6941591257540016e-06,0.02879013029048828,0.00017272223960793838,8.558642118025201e-06,0.02844475843949753,0.00017062565110800439,0.00040952509336748686,0.05288469376117505,0.0003152482633476787,1.2750000000000001,0.0,0.07011634398549817,0.13429336688857726,0.09164962882492626
0.038,10.0,48.86469460107622,0.00019758658067410594,0.06029155501110138,0.0003607457644996747,-7.718548619707422e-05,0.0234438819872361,0.00014105552475781807,0.0001414356567222612,0.02298190753694091,0.00013717297475255013,-0.12445893811675846,0.05910347711517691,0.0010203723144450569,0.12616614934132941,0.02270621222520575,-0.0005396842449721901,0.01167338042957675,0.03203244993465811,0.00012601648175857957,0.32877455997050486,0.05839446061940919,-0.0014391095978499,-0.3149789897014908,0.03140123307994825,0.0018941994823208513,0.005105196755523131,0.03102453794578983,0.00015951430798129187,-9.85902355509485e-05,0.03109643962875129,0.00018707955259949428,0.00025806901782136557,0.057814717967365176,0.000345577536095369,0.00041736005578988137,0.05667544749302618,0.00033793269221013555,4.373243277419701e-06,0.030483667366399354,0.00018287983924364162,1.0146662396324915e-05,0.030117979524173853,0.00018065652529233498,0.00048371591568294815,0.0559955581000677,0.00033351619804020127,1.35,0.0,0.06952412384336304,0.13411069627036787,0.09243284227512125
