t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma,input_sigma_diff,object_gui_cylinder_x,object_gui_cylinder_y,object_gui_cylinder_z
0.02,15.0,3770.7439087291737,0.018302259252848962,0.027674446799873034,0.00014145941573491291,0.01904882497839674,0.02712910676810884,0.00010241493280787146,-0.01849074007480139,0.021780737505049764,0.00046666988723067365,0.019196949371460634,0.027674446799873034,0.0001247533391263939,0.029447731484221057,0.02680366086961205,1.3381169626945356e-05,-0.024112020982511116,0.02680366086961205,0.0005776645032412307,1.3880856645356392e-05,0.02712910676810884,0.0003254300577273705,1.8648332594384855e-05,0.021351536221687322,0.00025605827854945117,8.385163835086736e-05,0.021095399152769066,0.00025242436612278086,0.7200000000000001,0.0,0.04632834130862254,0.12485374114817607,0.09550169970521213
0.022,11.0,3184.9296451923356,0.020026172611912058,0.030749385333192256,0.00014936551296411952,0.02089310402023136,0.030143451964565374,0.0001331355238340236,-0.02020972295744489,0.02420081945005529,0.0005122987142982801,0.021611818095165426,0.030749385333192256,0.00013862923154077945,0.03244188876100398,0.02978184541068005,4.00936711750792e-06,-0.026739311220705317,0.02978184541068005,0.000646726396718294,1.875235567316048e-05,0.030143451964565374,0.0003615548532950402,2.519573121630726e-05,0.02372392913520813,0.00028446336963136495,0.0001132409232851466,0.023439332391965623,0.0002802657690433771,0.7999999999999999,0.0,0.046523317244358646,0.12482989121997676,0.09555332341394618
0.024,14.0,3709.3343331861174,0.02229630076329879,0.03382432386651148,0.00016557781505519305,0.021792903077127015,0.03315779716102191,0.00014717631768948656,-0.021716144916199123,0.026620901395060816,0.0005619674922300685,0.023615557141870663,0.03382432386651148,0.0001465500692561526,0.03595589389297348,0.03276002995174805,3.817694288928891e-06,-0.02940395156685819,0.03276002995174805,0.0007139920940694405,2.46474511996281e-05,0.03315779716102191,0.00039766853766418493,3.312042284261224e-05,0.026096322048728943,0.0003128535158101516,0.00014878358928712657,0.025783265631162185,0.00030804029649452445,0.8799999999999999,0.0,0.04673611338449772,0.12480674157562126,0.09561251387268783
0.026000000000000002,12.0,3500.0731232898947,0.024542090136873106,0.036899262399830705,0.00017523553963838298,0.02269754281097798,0.03617214235747845,0.00017255087136421718,-0.023198179661633487,0.02904098334006635,0.0006090855390751857,0.02562559065509785,0.036899262399830705,0.00015940446309552052,0.03933099020133791,0.03573821449281606,-2.612152801889034e-06,-0.031983588508384675,0.03573821449281606,0.000781705992716091,3.166386732673152e-05,0.03617214235747845,0.0004337699388753458,4.255453381924454e-05,0.028468714962249758,0.0003412271344728858,0.00019105815131196727,0.02812719887035875,0.0003357409833728595,0.96,0.0,0.04693349552545323,0.12478459390415109,0.0956680320442416
0.028,11.0,3182.676789736138,0.02653512774435511,0.03997420093314994,0.00018518532955532203,0.023964610214192907,0.039186487553934994,0.00019786733691548418,-0.02471923990272323,0.03146106528507188,0.0006559109393604644,0.027931151919485513,0.03997420093314994,0.00017218332333662507,0.04226316174305187,0.03871639903388407,-7.375094009446082e-06,-0.03446915061912588,0.03871639903388407,0.000848399850507225,3.989939509649265e-05,0.039186487553934994,0.00046985788423929914,5.363045578914426e-05,0.030841107875770574,0.00036958264010341594,0.00024064102540474264,0.030471132109555314,0.0003633608874989202,1.04,0.0,0.04712370551832622,0.12476473051990403,0.09572241038914138
0.03,14.0,3980.0587974669033,0.028672145388937628,0.043049139466469155,0.00019816814066536854,0.025019823660704075,0.04220083275039152,0.00021883467043438336,-0.026189374239199426,0.0338811472300774,0.0007032046455936077,0.030246941819081316,0.043049139466469155,0.0001814158505638037,0.04514520803271987,0.04169458357495207,-6.822938017197578e-06,-0.03691273486318772,0.04169458357495207,0.0009139648103289355,4.945189863031521e-05,0.04220083275039152,0.0005059312002635404,6.648086881049752e-05,0.03321350078929138,0.0003979184440020269,0.0002981063408319991,0.03281506534875187,0.0003908930918801656,1.1199999999999999,0.0,0.047323455980709535,0.12474857224690364,0.09578221328387465
0.032,12.0,3288.8583052895087,0.03117790288725609,0.04612407799978838,0.00020942319133020906,0.025420668844694724,0.04521517794684806,0.00024234425143372784,-0.02749853072270127,0.03630122917508294,0.0007498872409713884,0.03233760971364969,0.04612407799978838,0.00019052563416848482,0.04841898004857889,0.04467276811602008,-5.669279000397487e-06,-0.03941595858225536,0.04467276811602008,0.0009790260357504937,6.041932128247096e-05,0.04521517794684806,0.000541988712578613,8.12387642090677e-05,0.0355858937028122,0.00042623295400802044,0.00036402575299705005,0.03515899858794844,0.00041833070696539726,1.2,0.0,0.04751127843990551,0.12473349721475022,0.09584307502222777
0.034,11.0,3181.4612707943324,0.03326686203209498,0.04919901653310761,0.00021625336375021828,0.026606260102577228,0.0482295231433046,0.00027370625158331855,-0.028972354499620694,0.03872131112008847,0.0007946381021134769,0.03485237994134274,0.04919901653310761,0.00020233688183349504,0.051089871315223044,0.04765095265708808,-9.216328697889714e-06,-0.04180449523114513,0.04765095265708808,0.0010448029348721214,7.289969180886106e-05,0.0482295231433046,0.0005780292458642656,9.80374671420794e-05,0.03795828661633301,0.00045452457422548735,0.0004389682572059527,0.037502931827145,0.00044566687288977543,1.28,0.0,0.04767209512519944,0.12471969500341927,0.0959006191057893
0.036000000000000004,13.0,3381.082985585559,0.03584506253533265,0.05227395506642684,0.00022808511641198232,0.027073432291346074,0.05124386833976114,0.00029565129884620697,-0.03031113938277156,0.041141393065094,0.0008413649707765764,0.036965190251392305,0.05227395506642684,0.00020905890150100918,0.05431186279465448,0.05062913719815609,-5.528809404803409e-06,-0.04424067694605649,0.05062913719815609,0.0011092035891516147,8.699113055214545e-05,0.05124386833976114,0.0006140516237754274,0.00011701065885127845,0.04033067952985383,0.00048279170475254104,0.000523500003350807,0.039846865066341566,0.00047289476170962735,1.36,0.0,0.0478522601751981,0.12470407064635687,0.09596326224383721
0.038,12.0,3284.6459510421414,0.03811559901870379,0.05534889359974607,0.00023404597277296103,0.028148223942743654,0.05425821353621768,0.0003262173749384593,-0.03177830403300988,0.04356147501009953,0.0008864713727144531,0.03921146818108961,0.05534889359974607,0.00022060444018024518,0.05715708374703497,0.0536073217392241,-8.454492665164543e-06,-0.046526664962599065,0.0536073217392241,0.001174175984223367,0.00010279185564430297,0.05425821353621768,0.0006500546688679864,0.00013829239858295612,0.042703072443374644,0.0005110327414142804,0.000618184111576684,0.04219079830553813,0.0005000075796262478,1.4400000000000002,0.0,0.04800473914103367,0.12468755279997,0.09601961434624987
0.04,13.0,3883.9766057505453,0.04038672590337825,0.05842383213306528,0.00024369879737233793,0.0290610935525592,0.05727255873267421,0.0003494920174791666,-0.0331420579918017,0.04598155695510505,0.0009331183318573793,0.041409891992691954,0.05842383213306528,0.0002305483674237081,0.0599709816824623,0.05658550628029209,-6.8589296009146096e-06,-0.048742920386128354,0.05658550628029209,0.001237346054914694,0.00012040018922765216,0.05727255873267421,0.0006860372025243588,0.00016201714515290123,0.045075465356895446,0.0005392460754997499,0.0007235804889981333,0.04453473154473468,0.0005269985691978959,1.5199999999999998,0.0,0.04815644089462842,0.12466905545965822,0.0960795094558614
0.042,13.0,3380.8142530264204,0.04284487896514134,0.06149877066638451,0.0002533445371560751,0.029546777129084906,0.06028690392913075,0.00037470972451885857,-0.03436183648881091,0.04840163890011058,0.0009785243627029475,0.04348909118125539,0.06149877066638451,0.00024106654408431069,0.06290952466591644,0.0595636908213601,-4.887490333226413e-06,-0.05093017320478404,0.0595636908213601,0.0012996793344898616,0.00013991456369532852,0.06028690392913075,0.0007219980448788371,0.00018831977813443292,0.04744785827041626,0.0005674300935031604,0.0008402456475308392,0.04687866478393125,0.0005538610115391973,1.5999999999999999,0.0,0.048289602298541026,0.12464787385934044,0.0961390147665773
0.044,13.0,3567.386864557734,0.045102210184402254,0.06457370919970375,0.00026074596281474893,0.03035172863682437,0.0633012491255873,0.0004050536639580287,-0.03561582894204204,0.05082172084511611,0.0010222026880071242,0.04557107184678675,0.06457370919970375,0.00025301541622138027,0.06564954359069647,0.06254187536242811,-4.411791641859952e-06,-0.05298628793362042,0.06254187536242811,0.001361664582806546,0.0001614335279521766,0.0633012491255873,0.0007579360147427035,0.00021733561864786694,0.04982025118393708,0.0005955831768696318,0.0009687325229035877,0.04922259802312781,0.0005805882285071636,1.68,0.0,0.04840027971756771,0.1246296860260614,0.09619529971814299
0.046,14.0,3641.2823473464978,0.04711784203064636,0.06764864773302295,0.0002705572505834484,0.03147601661605495,0.06631559432204381,0.0004315663882226334,-0.0368825337661504,0.05324180279012163,0.001066291580785964,0.04779721020667407,0.06764864773302295,0.00026493091063483444,0.06808278354596732,0.0655200599034961,-1.553804246404389e-06,-0.05492629526541954,0.0655200599034961,0.0014220761740453983,0.00018505575369697684,0.06631559432204381,0.0007938499295290998,0.0002492004497299807,0.052192644097457885,0.0006237037017457202,0.001109590294915273,0.05156653126232437,0.0006071735848730494,1.7599999999999998,0.0,0.04849114955061559,0.12460656382441108,0.09625149576271783
0.048,14.0,3710.429150479425,0.04946320059974878,0.07072358626634219,0.00028326893082834993,0.03193678819154626,0.06932993951850036,0.0004542470748293449,-0.03795513344228327,0.05566188473512717,0.0011105330220153309,0.04964725578285004,0.07072358626634219,0.0002751165127160174,0.07103774624175842,0.06849824444456412,4.985530783161607e-06,-0.05690282794249105,0.06849824444456412,0.001481094476519804,0.0002108800417268859,0.06932993951850036,0.0008297386051776405,0.0002840505362622672,0.0545650370109787,0.0006517900387349847,0.0012633642090012212,0.053910464501520934,0.0006336104904792679,1.8399999999999999,0.0,0.04858517126067762,0.12458337977265921,0.09630790786532409
0.05,12.0,3476.394418566413,0.051222536809557365,0.07379852479966141,0.0002920238903989516,0.03341607315771864,0.0723442847149569,0.00048488995828092766,-0.03921569140631621,0.0580819666801327,0.0011524452014689917,0.051968623766441756,0.07379852479966141,0.00028981522820173644,0.07315894958159175,0.07147642898563213,5.2641929264845015e-06,-0.05866037157579583,0.07147642898563213,0.0015405510831374783,0.00023900532826492626,0.0723442847149569,0.0008656008560787602,0.0003220226444370025,0.056937429924499516,0.000679840552658847,0.001430595399172628,0.0562543977407175,0.0006598924023805953,1.92,0.0,0.04865689957128189,0.1245608328692876,0.09636204933971057
0.052000000000000005,12.0,3281.899086955637,0.053366157400856325,0.07687346333298065,0.0003078111182810794,0.03439337567809894,0.07535862991141344,0.0005033106810443377,-0.04038803711217521,0.06050204862513823,0.0011966128803774533,0.05391910596699302,0.07687346333298065,0.0002988580747984667,0.07577943592491954,0.07445461352670013,1.5547967341300593e-05,-0.06044288968302303,0.07445461352670013,0.0015973798212299518,0.0002695306913113158,0.07535862991141344,0.0009014354949977821,0.00036325406074040064,0.05930982283802033,0.000707853602323,0.0016118207123923972,0.058598330979914064,0.0006860128269688973,2.0,0.0,0.048742918699526135,0.12453369915810095,0.09641645759458181
0.054,13.0,3380.1564332234675,0.0557197784677814,0.07994840186629988,0.0003189869335853227,0.035041752085801646,0.07837297510786999,0.0005277551931572525,-0.041470465813351405,0.06292213057014376,0.0012397220121878275,0.055690350100649405,0.07994840186629988,0.00031235155079168233,0.07865952805160566,0.07743279806776814,1.9840345714183195e-05,-0.06222494304755395,0.07743279806776814,0.001654508253009494,0.00030255535701938127,0.07837297510786999,0.000937241332998704,0.00040788261043238767,0.06168221575154115,0.000735827540289609,0.0018075725344501529,0.06094226421911063,0.0007119653220806189,2.08,0.0,0.04881037700425002,0.12451370665250501,0.09647149132154641
0.056,13.0,3563.6655632061306,0.05754551178771347,0.08302334039961909,0.00032764274318205225,0.03663988250612572,0.08138732030432651,0.0005561468186222983,-0.04273230922044016,0.06534221251514928,0.0012817521399420084,0.05789802066286481,0.08302334039961909,0.0003279958835876362,0.08060993676878644,0.08041098260883613,2.1017454686765637e-05,-0.06371829117960065,0.08041098260883613,0.001711631107876681,0.00033817870609675107,0.08138732030432651,0.0009730171793676855,0.0004560466755027965,0.06405460866506195,0.0007637607126555548,0.0020183786173986317,0.06328619745830719,0.0007377434990862845,2.1599999999999997,0.0,0.04885282630200739,0.1244929592670374,0.09652420799716865
0.058,11.0,3177.287375330906,0.05997005650667589,0.08609827893293831,0.00034263320574269806,0.037262973560848615,0.08440166550078304,0.0005731413959358878,-0.043773442551942134,0.0677622944601548,0.0013259352441671397,0.05955022153329047,0.08609827893293831,0.000338403099240882,0.08347272856112686,0.08338916714990414,3.3350764573412405e-05,-0.0653466344957344,0.08338916714990414,0.0017652894999540575,0.0003765002802324709,0.08440166550078304,0.0010087618415362356,0.0005078852120840667,0.06642700157858276,0.0007916514588369596,0.0022447619086130993,0.06563013069750374,0.0007633410249612613,2.2399999999999998,0.0,0.04891887582529851,0.12447166583873295,0.0965791286820235
