t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma_close,input_sigma_adapt,object_adaptive_box_x,object_adaptive_box_y,object_adaptive_box_z
0.026000000000000002,5.0,0.0,-9.870298496331997e-07,0.02951940991986457,0.00017711957290614795,4.409483518945823e-05,0.028937713885982763,0.00017342170813867082,7.276004982635488e-05,0.02323278667205308,0.00013905687730141126,3.5945332152309706e-06,0.02951940991986457,0.00017709968031711867,3.231609833133624e-05,0.02859057159425285,0.0001713924869788639,9.809994303727031e-05,0.02859057159425285,0.00017108514918037922,1.2663030562763695e-05,0.028937713885982763,0.0001735671392033725,1.70116777616706e-05,0.022774971969799808,0.00013657038219035115,7.650278361093395e-05,0.022501759096287002,0.00013465316507510995,0.768,0.0,0.04628898185416173,0.12499995276125303,0.07850014947731457
0.028,5.0,0.0,-1.323369381787834e-06,0.03197936074651995,0.00019188208665821748,5.5631844869027356e-05,0.03134919004314799,0.0001878305712477512,9.166514745524235e-05,0.025168852228057505,0.0001505765530693869,4.5320694953448705e-06,0.03197936074651995,0.0001918545972798283,4.0717826492829216e-05,0.030973119227107257,0.00018564481877265552,0.00012358288052160123,0.030973119227107257,0.00018525011570441993,1.595600260312514e-05,0.03134919004314799,0.00018801916207551137,2.1437069215102154e-05,0.02467288630061646,0.00014793524773712874,9.637503890210492e-05,0.02437690568764425,0.0001458024174241999,0.8320000000000001,0.0,0.046414748704429444,0.12499991635720205,0.07850019299006981
0.03,5.0,0.0,-1.5168482265010086e-06,0.03443931157317533,0.0002066438096553427,6.882931334003709e-05,0.03376066620031322,0.00020223020613266513,0.00011357678620580163,0.027104917784061926,0.0001620795158196401,5.6206439316317284e-06,0.03443931157317533,0.00020660867702207992,5.0461647431523666e-05,0.03335566685996166,0.000199889694200813,0.0001531272852840082,0.03335566685996166,0.0001993925038766403,1.977531863830917e-05,0.03376066620031322,0.00020246826118626058,2.657047333429473e-05,0.02657080063143311,0.00015929618137330804,0.00011941432187379406,0.0262520522790015,0.00015693406344059638,0.896,0.0,0.04654051555469716,0.12499987995315107,0.07850023650282506
0.032,5.0,0.0,-1.556301490721114e-06,0.036899262399830705,0.00022140467548834326,8.380955855499914e-05,0.03617214235747845,0.00021661987826483047,0.00013871557323342327,0.02904098334006635,0.0001735644393231633,6.871837661491623e-06,0.036899262399830705,0.00022136185053539442,6.164691357073607e-05,0.03573821449281606,0.00021412651707230723,0.00018703094563839257,0.03573821449281606,0.00021351052324519233,2.4160044903633098e-05,0.03617214235747845,0.00021691420223304082,3.246464736830269e-05,0.028468714962249758,0.00017065286693349277,0.00014585277440714938,0.02812719887035875,0.00016804670729090974,0.96,0.0,0.04666628240496488,0.12499984354910008,0.0785002800155803
0.034,5.0,0.0,-1.4304602284758968e-06,0.03935921322648609,0.00023616461716786087,0.00010069478707441715,0.03858361851464368,0.0002309988537365321,0.0001673016518363366,0.030977048896070773,0.0001850299999370241,8.297317644378776e-06,0.03935921322648609,0.00023611404833294759,7.437296351156678e-05,0.03812076212567047,0.00022835469127259838,0.0002255909823445215,0.03812076212567047,0.00022760238708019248,2.914926466315535e-05,0.03858361851464368,0.0002313567508184403,3.917241629139024e-05,0.03036662929306641,0.00018200498787418863,0.0001759220035415503,0.030002345461716002,0.00017913895612385312,1.024,0.0,0.046792049255232594,0.1249998071450491,0.07850032352833555
0.036000000000000004,5.0,0.0,-1.1279440986554529e-06,0.041819164053141476,0.0002509235670802197,0.00011960708615524176,0.04099509467180892,0.000245366399308407,0.00019955466868398975,0.0329131144520752,0.00019647487680143316,9.908842751727054e-06,0.041819164053141476,0.00025086520041298256,8.873912093777374e-05,0.040503309758524876,0.00024257362077007987,0.00026910380149244763,0.040503309758524876,0.00024166631265708214,3.4782079434656816e-05,0.04099509467180892,0.00024579567244287454,4.674667748058714e-05,0.03226454362388306,0.00019335222724555006,0.00020985304374216993,0.031877492053073254,0.00019020942029719022,1.088,0.0,0.04691781610550031,0.12499977074099812,0.0785003670410908
0.038,5.0,0.0,-6.372540382117914e-07,0.044279114879796855,0.0002656814569433731,0.00014066841584212117,0.043406570828974145,0.0002597217824569134,0.00023569374112377645,0.03484918000807962,0.0002078977520363738,1.1718269848400034e-05,0.044279114879796855,0.00026561523622227077,0.00010484469349801372,0.04288585739137928,0.00025678270962264905,0.00031786504750614997,0.04288585739137928,0.000255700521539321,4.1097610216420786e-05,0.043406570828974145,0.00026023073249723693,5.52404053596462e-05,0.034162457954699715,0.00020469426766331477,0.0002478763192664938,0.033752638644430503,0.00020125671360413,1.1520000000000001,0.0,0.04704358295576803,0.12499973433694714,0.07850041055384605
0.04,5.0,0.0,5.3235048180469953e-08,0.04673906570645223,0.0002804382177629427,0.0001640006010616367,0.04581804698613937,0.0002740642714217835,0.0002759374245714475,0.036785245564084045,0.00021929731093776162,1.3737559865083177e-05,0.04673906570645223,0.000280364084619623,0.00012278897166392676,0.045268405024233675,0.00027098136198441396,0.00037216955627450676,0.045268405024233675,0.0002697032398603651,4.8134998715927196e-05,0.04581804698613937,0.0002746616962555377,6.47066560071318e-05,0.03606037228551636,0.0002160307912809403,0.00029022160663652385,0.03562778523578775,0.00021227945349912755,1.216,0.0,0.047169349806035744,0.12499969793289616,0.07850045406660129
0.042,5.0,0.0,9.552815809608162e-07,0.04919901653310761,0.00029519377978835657,0.00018972532371971332,0.0482295231433046,0.0002883931352534578,0.0003205036799905298,0.03872131112008847,0.00023067224217310215,1.5978783861036052e-05,0.04919901653310761,0.0002951116738394552,0.00014267122756254745,0.04765095265708808,0.0002851689821125449,0.0004323113084176905,0.04765095265708808,0.00028367269860488147,5.5933408580575136e-05,0.0482295231433046,0.00028908832886753206,7.519857172637846e-05,0.03795828661633301,0.00022736147976195527,0.00033711799722337983,0.037502931827145,0.00022327626132305085,1.28,0.0,0.04729511665630346,0.12499966152884517,0.07850049757935654
0.044,5.0,0.0,2.080784579978783e-06,0.051658967359763,0.0003099480724690922,0.00021796411480239618,0.050640999300469836,0.00030270764386050076,0.00036960984146606156,0.04065737667609289,0.0002420212379766142,1.845412907662298e-05,0.051658967359763,0.00030985793145541174,0.0001645907137815342,0.05003350028994249,0.00029934497437427966,0.0004985833826970495,0.05003350028994249,0.00029760713388914876,6.453202663054588e-05,0.050640999300469836,0.0003035103953513356,8.676938557506815e-05,0.039856200947149666,0.0002386860142525397,0.00038879385995098696,0.03937807841850225,0.00023424576252767325,1.344,0.0,0.04742088350657118,0.12499962512479419,0.07850054109211178
