t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_free_horizontal_y_axis_cylinder_radius2p5_x,object_free_horizontal_y_axis_cylinder_radius2p5_y,object_free_horizontal_y_axis_cylinder_radius2p5_z
0.0,38.0,460.9848906159444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.18,0.04
0.002,33.0,356.85746522691574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002260560863279564,0.0,0.0,-0.0010937735096871587,0.0,0.0,-0.00046315653605870236,0.0,0.0,0.000673634901990632,0.0,0.0,-2.2671647363095483e-05,0.0,0.0,-2.190714017066508e-05,0.0,0.0,0.002279103800669293,0.0,0.0,-0.0011132170894711895,0.0,0.0,-0.00040131684629327605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09500014027610876,0.1800152365012016,0.03994611812291103
0.004,27.0,228.68351680483337,-3.5745714815119045e-08,-0.0030624281910400708,-7.656070477600177e-06,1.402682849472656e-08,-0.0011908003549072309,-2.9770008872680774e-06,-2.5619775152408387e-08,-0.001167334986003348,-2.9183374650083703e-06,0.007752706511729233,-0.0030020813772788277,-1.3156605601395982e-05,-0.0033013364217674137,-0.0011533314146136256,-1.4889476231616722e-07,-0.0016967064375215104,-0.0016270450760461268,-2.909721349968561e-06,0.0025183841841938024,-0.002966067840985864,-9.099256857441241e-06,-6.185260883069784e-05,-0.0015949832675529274,-3.93077905047458e-06,-7.012889806566925e-05,-0.001575849546452817,-3.88485601570538e-06,0.007890992859908196,-0.0015795016954286373,-9.646513740244826e-06,-0.003519920567567795,-0.002936620595167756,-4.558508764241416e-06,-0.0014494835802940805,-0.002878752888534664,-6.19359010560347e-06,-7.761855463746726e-10,-0.0015483767551186976,-3.870941887796744e-06,-1.7771247903559782e-09,-0.0015298021345612118,-3.8245053364030296e-06,-8.760518308571043e-08,-0.0028442188241304235,-7.110547060326059e-06,-0.06857142857142859,0.0,0.09500016821360772,0.18006355808094482,0.03979526138663946
0.006,27.0,236.92527205075993,-1.7872780165452033e-07,-0.0061248563820801415,-1.5312051590913316e-05,7.01329592804725e-08,-0.0023816007098144618,-5.9540368416073914e-06,-1.2809786975802568e-07,-0.002334669972006696,-5.83661088057886e-06,0.014926083603757807,-0.0060041627545576555,-3.4392173165717224e-05,-0.005628581079035596,-0.0023066628292272512,2.486683981350406e-06,-0.0033411262405636947,-0.0032540901520922536,-3.893459286426858e-06,0.005091515078841908,-0.005932135681971728,-2.1126299665413825e-05,-0.00011752220967087791,-0.003189966535105855,-7.820284815687893e-06,-0.0001113520637709596,-0.003151699092905634,-7.703925487099912e-06,0.015352594493418633,-0.0031590033908572746,-2.7624990626913675e-05,-0.006393602435615542,-0.005873241190335512,-5.883301556919292e-06,-0.002941235889089388,-0.005757505777069328,-1.0770055491938117e-05,-3.881119707576575e-09,-0.003096753510237395,-7.741881835129621e-06,-8.886402469671567e-09,-0.0030596042691224236,-7.649006229994084e-06,-4.380226925197833e-07,-0.005688437648260847,-1.4220875107694403e-05,-0.13714285714285718,0.0,0.09500047688978788,0.18013908793377634,0.03957010688694655
0.008,26.0,140.7339625430856,-5.004338280707979e-07,-0.009187284573120211,-2.2967764613296393e-05,1.9636613343928548e-07,-0.003572401064721692,-8.931177994202432e-06,-3.586688041483581e-07,-0.0035020049580100437,-8.754692150350714e-06,0.02317063871821117,-0.009006244131836483,-5.9830819338985725e-05,-0.008083824987842585,-0.0034599942438408764,5.4214670879867996e-06,-0.005081441320762692,-0.00488113522813838,-3.850022468936713e-06,0.00864523908793657,-0.00889820352295759,-3.497429650449875e-05,-0.00014061435616132174,-0.004784949802658782,-1.166856898246976e-05,-0.00014918291425781993,-0.0047275486393584506,-1.1540491438968729e-05,0.023987540638708553,-0.004738505086285911,-5.022774894926136e-05,-0.009596663306270061,-0.008809861785503265,-6.040648374719309e-06,-0.004551725087514659,-0.00863625866560399,-1.4237556941286505e-05,-1.0868133455377698e-08,-0.004645130265356092,-1.161281596059096e-05,-2.4885975155086072e-08,-0.004589406403683635,-1.1473493793202913e-05,-1.2264467800567731e-06,-0.00853265647239127,-2.1330546124246876e-05,-0.20571428571428574,0.0,0.095000207184101,0.18023745763616275,0.039289844544925415
0.01,25.0,100.52047811151886,-1.0723451824420583e-06,-0.012249712764160283,-3.062303082583053e-05,4.2076462691670063e-07,-0.0047632014196289235,-1.1908494464405908e-05,-7.68559050950173e-07,-0.004669339944013392,-1.1672453188023112e-05,0.03216958408998556,-0.012008325509115311,-8.79474105683162e-05,-0.010707690165373068,-0.0046133256584545024,8.676248323470207e-06,-0.006911929961692003,-0.006508180304184507,-3.566847458554537e-06,0.012965290079868835,-0.011864271363943456,-5.127377612970007e-05,-0.00012483841760897583,-0.00637993307021171,-1.559829678512597e-05,-0.00018397296700751334,-0.006303398185811268,-1.5385538178883622e-05,0.033377655597842545,-0.006318006781714549,-7.576386855105775e-05,-0.012959808441907285,-0.011746482380671023,-5.374547686002404e-06,-0.006210618271782148,-0.011515011554138655,-1.740821616655999e-05,-2.3292093570721146e-08,-0.00619350702047479,-1.5483740380853337e-05,-5.3340212735658975e-08,-0.006119208538244847,-1.5297959130674232e-05,-2.628045915069925e-06,-0.011376875296521694,-2.8439122124354093e-05,-0.27428571428571435,0.0,0.09500053238509104,0.18035660830034264,0.03896051738933961
0.012,23.0,62.745784512645145,-1.9659339847867586e-06,-0.01531214095520035,-3.8277671525044765e-05,7.713525188001997e-07,-0.005954001774536153,-1.4886056347907673e-05,-1.4089830119112798e-06,-0.005836674930016739,-1.4589765927414471e-05,0.04158643538226117,-0.015010406886394136,-0.00011794997744094924,-0.013465880388275269,-0.005766657073068127,1.2352582730762354e-05,-0.008770249411499682,-0.008135225380230631,-3.058238546346571e-06,0.017871280879038783,-0.014830339204929318,-6.948907321199538e-05,-7.086456007356033e-05,-0.007974916337764634,-1.9625194800389147e-05,-0.00021083994839313146,-0.007879247732264083,-1.9238186913141426e-05,0.04314959836832635,-0.007897508477143185,-0.00010318791018746432,-0.016394811370861084,-0.014683102975838774,-4.308236334828724e-06,-0.007865566102890848,-0.014393764442673315,-2.0457865427227915e-05,-4.2710170555647576e-08,-0.007741883775593486,-1.9354651208749788e-05,-9.782282598940766e-08,-0.007649010672806057,-1.9122393331483304e-05,-4.817949895201655e-06,-0.014221094120652113,-3.554616518684261e-05,-0.34285714285714286,0.0,0.09500068085145173,0.18049118968629968,0.03859835943961908
0.014,24.0,40.342983448618384,-3.2526599981331135e-06,-0.018374569146240423,-4.593150803063909e-05,1.2761349607654873e-06,-0.007144802129443384,-1.786393370490546e-05,-2.33113899566164e-06,-0.007004009916020087,-1.750650233252044e-05,0.05109585428611162,-0.018012488263672966,-0.00014899730911483534,-0.016264994718310888,-0.006919988487681753,1.636472975148379e-05,-0.01063227836791823,-0.00976227045627676,-2.4800526119426925e-06,0.023167448421987508,-0.01779640704591518,-8.916921981238491e-05,1.037987779343221e-05,-0.009569899605317563,-2.3747587613110007e-05,-0.00022782368399219905,-0.009455097278716901,-2.3110643325809424e-05,0.05299315559806141,-0.009477010172571822,-0.00013156652135224545,-0.019827484998863353,-0.01761972357100653,-3.0622805003636176e-06,-0.009511318139175188,-0.01727251733120798,-2.3517378070792828e-05,-7.068260655533756e-08,-0.009290260530712184,-2.322554455135407e-05,-1.619199786398223e-07,-0.00917881280736727,-2.2946787461353205e-05,-7.971236959553432e-06,-0.01706531294478254,-4.265123748721835e-05,-0.4114285714285715,0.0,0.09500084190684598,0.18063828808382487,0.038211973165010814
0.016,24.0,17.02375945054375,-5.003967540664852e-06,-0.021436997337280488,-5.3584361693205884e-05,1.9630934481575713e-06,-0.008335602484350613,-2.0842196548278448e-05,-3.58620519678383e-06,-0.008171344902023434,-2.042253440756943e-05,0.06060168361674422,-0.02101456964095179,-0.00018027605981765852,-0.019060838895305493,-0.008073319902295376,2.047918704003878e-05,-0.012494202272317404,-0.011389315532322884,-1.8925929110116337e-06,0.028700368601668396,-0.020762474886901045,-0.00010982480827222138,0.0001153392557826419,-0.011164882872870489,-2.7938156876659804e-05,-0.00023694878093255428,-0.011030946825169717,-2.70078078529438e-05,0.06283374498007215,-0.011056511868000458,-0.0001601241686651547,-0.02325747761332094,-0.020556344166174283,-1.8221479182773271e-06,-0.011157553224098102,-0.02015127021974264,-2.659988020141863e-05,-1.0877348329429606e-07,-0.01083863728583088,-2.709641650806081e-05,-2.4923339792777446e-07,-0.01070861494192848,-2.67711325548746e-05,-1.2262920905430579e-05,-0.01990953176891296,-4.975390132988351e-05,-0.48,0.0,0.09500103358836677,0.1807941235147439,0.03781074664184694
0.018000000000000002,24.0,0.48763573705100993,-7.291282398865035e-06,-0.024499425528320566,-6.123605390194975e-05,2.860181093173489e-06,-0.009526402839257847,-2.382091483176501e-05,-5.22533567656677e-06,-0.009338679888026785,-2.3337734207075003e-05,0.07010365333179987,-0.024016651018230622,-0.0002115458365874371,-0.021853108792394424,-0.009226651316909005,2.458546894599122e-05,-0.014356023483740326,-0.013016360608369014,-1.3053958401290253e-06,0.03429613695526766,-0.023728542727886912,-0.00013107227832388828,0.0002327233818393493,-0.01275986614042342,-3.218801349051515e-05,-0.00024247908010239448,-0.012606796371622537,-3.0924618976724955e-05,0.07267111130324248,-0.012636013563429098,-0.0001886743963587531,-0.026684505338338455,-0.023492964761342047,-5.887178700527633e-07,-0.012804362737507258,-0.02303002310827731,-2.9681174710448022e-05,-1.5855149003068266e-07,-0.01238701404094958,-3.0967263168665716e-05,-3.633834832748769e-07,-0.012238417076489694,-3.0595419607729416e-05,-1.7867938209657293e-05,-0.02275375059304339,-5.6853719180344895e-05,-0.5485714285714287,0.0,0.09500122784148939,0.18095476421435963,0.0374019467535917
