t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma,input_sigma_diff
0.02,0.0,0.0,5.344623609479671e-05,0.03014577750555069,0.0003612901811216587,-2.0929000061051074e-05,0.01172194099361805,0.0001408431741928135,3.828372663201055e-05,0.011490953768470456,0.00013756251192700871,5.118041686550131e-05,0.029551738557588456,0.0003541811758310716,-2.7987708009034262e-05,0.011353106112602875,0.00013647781467308043,6.441394100469704e-05,0.016016224967329056,0.00019164125506452282,4.1404948528410545e-05,0.029197230309704596,0.0003500110728412929,-5.115426972454885e-06,0.015700616539974125,0.00018845141750282893,5.548100747101772e-05,0.015512268972894915,0.0001856705459982368,-2.6709875933360958e-05,0.015548219814375645,0.00018680816771872238,6.980866175663542e-05,0.028907358983682588,0.0003462885879575069,0.00011293773934733224,0.02833772374651309,0.0003390823802749726,1.1708887069924918e-06,0.015241833683199677,0.00018289196526578884,2.697599114566902e-06,0.015058989762086927,0.00018068478062204866,0.0001309194994232241,0.02799777905003385,0.0003348485106575421,0.675,0.0
0.022,0.0,0.0,7.218618703181738e-05,0.03349530833950076,0.0004013023452408716,-2.825242849774954e-05,0.013024378881797832,0.0001565436945823066,5.16995384644782e-05,0.012767726409411614,0.00015275331219335525,6.912532435134541e-05,0.032835265063987165,0.00039340901576546,-3.778282551569196e-05,0.012614562347336525,0.0001517106006641467,8.698645649825723e-05,0.017795805519254505,0.0002127766989389977,5.592516479724766e-05,0.03244136701078288,0.0003887995447470536,-6.896084794401968e-06,0.017445129488860137,0.0002094029389899911,7.49251341231107e-05,0.01723585441432768,0.00020616448088228,-3.606292278999716e-05,0.017275799793750716,0.00020763011603620892,9.42851506394124e-05,0.032119287759647314,0.0003845937491746882,0.00015252439085857903,0.03148635971834787,0.00037648106374800646,1.584990068645516e-06,0.016935370759110748,0.00020321039844484507,3.6573300815311742e-06,0.016732210846763247,0.00020075415897178418,0.0001768014523374803,0.031108643388926494,0.00037173268667403924,0.7499999999999999,0.0
0.024,0.0,0.0,9.48540792393719e-05,0.03684483917345084,0.0004412718358370283,-3.71023751595663e-05,0.014326816769977617,0.0001722608303817044,6.792297510343827e-05,0.014044499050352776,0.00016791359414265958,9.083120360230781e-05,0.03611879157038589,0.0004325959949524145,-4.962064851067297e-05,0.013876018582070179,0.00016696561689103046,0.00011428280753235965,0.019575386071179958,0.00023386079537618043,7.349017608471044e-05,0.03568550371186117,0.00042755494256476703,-9.042602476308011e-06,0.01918964243774615,0.00023035846227048665,9.843952641514441e-05,0.01895943985576045,0.00022661417665964807,-4.7369409268501535e-05,0.019003379773125786,0.0002284733123509894,0.00012389160263202818,0.035331216535612046,0.00042284317661967164,0.00020040116461758918,0.03463499569018266,0.00041378965559188906,2.0879075248870342e-06,0.018628907835021826,0.0002235278741394382,4.826099576856412e-06,0.018405431931439575,0.0002208212952162965,0.0002322875424650095,0.03421950772781915,0.00040851247530578007,0.825,0.0
0.026000000000000002,0.0,0.0,0.00012182095234801288,0.04019437000740091,0.00048119419113793854,-4.761955629385365e-05,0.0156292546581574,0.0001879962843998036,8.721746076230222e-05,0.015321271691293938,0.000183040184594286,0.00011665318853015101,0.0394023180767846,0.0004717378424781875,-6.368988059410129e-05,0.015137474816803831,0.00018224514558377405,0.00014674617278678356,0.021354966623105407,0.00025488820578687657,9.438814053613121e-05,0.038929640412939455,0.00046627380284225694,-1.1586518308267413e-05,0.020934155386632167,0.0002513183758693017,0.00012640650627408813,0.02068302529719322,0.0002470150292493369,-6.081099552623851e-05,0.020730959752500857,0.00024933994994123234,0.0001591124483748756,0.03854314531157678,0.00046103104450733704,0.0002573481466606084,0.037783631662017446,0.00045099876596879835,2.6888603786262774e-06,0.0203224449109329,0.00024384428404089617,6.226881352658193e-06,0.0200786530161159,0.00024088592299846852,0.00029827972737351085,0.037330372066711796,0.0004451770142909615,0.8999999999999999,0.0
0.028,0.0,0.0,0.00015345699475414137,0.043543900841351,0.0005210649586680358,-5.994338722674063e-05,0.016931692546337185,0.00020375174523157248,0.00010984531300987171,0.016598044332235103,0.0001981299224576736,0.00014694556096962099,0.04268584458318333,0.0005108302967358381,-8.017759747783702e-05,0.016398931051537488,0.00019755145118557907,0.00018481785940822036,0.02313454717503086,0.0002758536120269289,0.00011890670772004357,0.04217377711401775,0.0005049526676817795,-1.4558449501855686e-05,0.02267866833551818,0.00027228305824591743,0.00015920691094806997,0.02240661073862599,0.0002673624507882228,-7.656811873721536e-05,0.022458539731875934,0.0002702322087288261,0.00020043096282548558,0.04175507408754152,0.0004991515396699997,0.00032414278532405505,0.04093226763385224,0.0004880990338462996,3.397280887282012e-06,0.02201598198684398,0.0002641595175175842,7.88350239224089e-06,0.021751874100792226,0.0002609477666332748,0.0003756764150030351,0.04044123640560445,0.00048171548013877126,0.9750000000000001,0.0
0.03,0.0,0.0,0.0001901314673843591,0.046893431675301064,0.0005608796961665631,-7.421186651654351e-05,0.018234130434516965,0.00021952888586092447,0.00013606764410360042,0.01787481697317626,0.00021317965992199666,0.00018206167447493637,0.04596937108958203,0.000549869106343349,-9.926910208639973e-05,0.017660387286271135,0.00021288677860498763,0.00022893713598961675,0.024914127726956305,0.000296751718410577,0.00014733297309025412,0.04541791381509603,0.0005435880852885118,-1.7988010369614867e-05,0.02442318128440419,0.0002932528768068726,0.00019721996039120756,0.024130196180058752,0.0002876518712293282,-9.481988352512069e-05,0.024186119711250998,0.0002911522539598586,0.0002483291612967281,0.04496700286350624,0.000537198862808169,0.0004015596548117829,0.04408090360568702,0.0005250811298443556,4.222833641447268e-06,0.023709519062755046,0.00028447346138241316,9.820718281378643e-06,0.023425095185468547,0.00028100654019691567,0.00046537214623618584,0.04355210074449709,0.0005181170919539286,1.0499999999999998,0.0
0.032,0.0,0.0,0.0002322126277659215,0.05024296250925114,0.0006006339725024015,-9.056146075117479e-05,0.019536568322696752,0.00023532936227055955,0.00016614426283859801,0.019151589614117424,0.0002281862636401659,0.00022235387845126342,0.049252897595980755,0.0005888500310580698,-0.00012114778048067167,0.01892184352100479,0.00022825335147709427,0.00027954106637992793,0.02669370827888176,0.00031757725371470575,0.00017995343263328548,0.048662050516174324,0.0005821766105170088,-2.190373101400266e-05,0.02616769423329021,0.00031422818692391786,0.0002408231252757807,0.025853781621491524,0.00030787873993320383,-0.00011574395282634683,0.025913699690626076,0.00031210223488981433,0.00030328769578834546,0.04817893163947098,0.000575167229738091,0.0004903702196574446,0.047229539577521816,0.0005619357590725204,5.175434948215627e-06,0.025403056138666127,0.0003047859996602962,1.2064287995563971e-05,0.025098316270144874,0.00030106194662236197,0.0005682572788705084,0.04666296508338975,0.0005543711152458427,1.125,0.0
0.034,0.0,0.0,0.00028006765442939235,0.05359249334320122,0.0006403233685852237,-0.00010912699004434373,0.020839006210876535,0.00025115481205953253,0.0002003335769562453,0.020428362255058584,0.00024314661590663984,0.00026817344264970294,0.05253642410237947,0.0006277688426871385,-0.000145994958674355,0.020183299755738442,0.00024365337043462938,0.0003370643443949865,0.02847328883080721,0.0003383249731731274,0.00021705393771695778,0.05190618721725261,0.0006207148054154319,-2.6332976569120456e-05,0.027912207182176223,0.00033520933095828275,0.0002903919956852107,0.027577367062924293,0.00032803852725178217,-0.0001395164392197872,0.027641279670001146,0.0003330842834739299,0.00036578575163696044,0.05139086041543571,0.0006130508726357684,0.0005913426001585761,0.0503781755493566,0.0005986536639563899,6.2652722193725896e-06,0.027096593214577202,0.00032509701335554784,1.464104805370554e-05,0.026771537354821198,0.00032111367680190764,0.0006852176731127433,0.049773829422282395,0.0005904668657209427,1.2,0.0
0.036000000000000004,0.0,0.0,0.00033406257166946815,0.0569420241771513,0.0006799434782726629,-0.00013004151428503517,0.022141444099056322,0.00026700685306920796,0.00023889249615604088,0.021705134895999748,0.00025805761582852203,0.0003198704820541623,0.055819950608778195,0.0006666213259935419,-0.00017398976041275852,0.0214447559904721,0.00025908901138975746,0.00040193912949981005,0.030252869382732667,0.0003589896604600522,0.0002589196501557857,0.055150323918330905,0.0006591992397673674,-3.130186703828434e-05,0.02965672013106224,0.0003561966372915763,0.00034630015054103397,0.029300952504357065,0.0003481267261040622,-0.00016631179676004798,0.02936885964937622,0.0003541005130631521,0.00043630094450960993,0.05460278919140045,0.0006508440412771618,0.0007052413388587102,0.053526811521191396,0.0006352256270523938,7.502823364604318e-06,0.02879013029048828,0.0003454063802192269,1.7578985989079093e-05,0.02844475843949753,0.0003411614086973259,0.000817134378714046,0.05288469376117505,0.0006263937130567477,1.2750000000000001,0.0
0.038,0.0,0.0,0.00039456217468979897,0.06029155501110138,0.000719489909273183,-0.00015343622019442193,0.0234438819872361,0.00028288708201825363,0.0002820763357540309,0.02298190753694091,0.00027291618048941844,0.0003777938821883193,0.05910347711517691,0.0007054032795974731,-0.00020530896598305715,0.02270621222520575,0.0002745624238274221,0.00047459488353225664,0.03203244993465811,0.0003795661296618996,0.00030583499750877165,0.05839446061940919,0.0006976264916310409,-3.6835197770231956e-05,0.03140123307994825,0.0003771904193638384,0.00040891902781675817,0.03102453794578983,0.00036813885354298554,-0.00019630271335054915,0.03109643962875129,0.0003751530171061361,0.000515309217765759,0.057814717967365176,0.0006885410042742668,0.0008328271681534948,0.05667544749302618,0.0006716424738500096,8.898876189820688e-06,0.030483667366399354,0.000365713974516417,2.0907313088684388e-05,0.030117979524173853,0.00036120480645821727,0.0009648833238646529,0.0559955581000677,0.0006621410846562439,1.35,0.0
