t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_1,qref_joint_1,tau_joint_1,input_sigma,input_sigma_diff
0.04,0.0,0.0,0.000697556637444802,0.1213589148622822,0.0014491606364590846,0.0019793806014259665,0.11990307035455297,0.0014185445299368365,1.4249999999999998,0.0
0.042,0.0,0.0,0.0008106325379424469,0.12774622617082337,0.0015245840344005428,0.002298578096103846,0.12621375826795048,0.0014908125319982942,1.4999999999999998,0.0
0.044,0.0,0.0,0.0009353280560341791,0.13413353747936455,0.0015998748592970652,0.0026501348188474475,0.13252444618134804,0.0015627104170229304,1.575,0.0
0.046,0.0,0.0,0.001072215835245276,0.14052084878790572,0.0016750262487824584,0.0030355570411355376,0.13883513409474554,0.001634219991310777,1.65,0.0
0.048,0.0,0.0,0.0012218693307797144,0.1469081600964469,0.0017500313311344193,0.0034563406948983928,0.14514582200814308,0.0017053231796040906,1.7249999999999999,0.0
0.05,0.0,0.0,0.0013848628405022474,0.15329547140498806,0.0018248832248905001,0.003913970906696249,0.15145650992154058,0.0017760020307197063,1.7999999999999998,0.0
0.052000000000000005,0.0,0.0,0.001561771534853417,0.15968278271352923,0.001899575038476324,0.004409921535603018,0.15776719783493814,0.0018462387231389025,1.875,0.0
0.054,0.0,0.0,0.0017531714856516927,0.16607009402207043,0.001974099869846604,0.004945654714957381,0.16407788574833568,0.001916015570552792,1.9500000000000002,0.0
0.056,0.0,0.0,0.0019596396937374525,0.17245740533061157,0.0020484508061395187,0.005522620398141928,0.17038857366173318,0.0019853150273613095,2.025,0.0
0.058,0.0,0.0,0.0021817541154140626,0.17884471663915272,0.0021226209233449833,0.006142255908549615,0.1766992615751307,0.0020541196941238652,2.0999999999999996,0.0
0.06,0.0,0.0,0.0024200936876418765,0.1852320279476939,0.002196603285987358,0.006805985493895245,0.18300994948852822,0.0021224123229597433,2.175,0.0
0.062,0.0,0.0,0.0026752383519415626,0.1916193392562351,0.0022703909468231188,0.00751521988502814,0.18932063740192576,0.002190175822896366,2.25,0.0
0.064,0.0,0.0,0.0029477690769637737,0.19800665056477626,0.0023439769465540164,0.008271355859400522,0.1956313253153233,0.0022573932651635416,2.325,0.0
0.066,0.0,0.0,0.0032382678796828036,0.2043939618733174,0.0024173543135562435,0.009075775809344436,0.2019420132287208,0.0023240478884318434,2.4,0.0
0.068,0.0,0.0,0.0035473178451725226,0.2107812731818586,0.0024905160636261095,0.00992984731530832,0.20825270114211833,0.0023901231039932867,2.475,0.0
0.07,0.0,0.0,0.0038755031449235577,0.21716858449039977,0.002563455199742727,0.010834922724202493,0.2145633890555159,0.0024556025008824907,2.5500000000000003,0.0
0.07200000000000001,0.0,0.0,0.004223409053661367,0.22355589579894097,0.002636164711848209,0.011792338733001017,0.22087407696891342,0.0025204698509365313,2.6250000000000004,0.0
0.074,0.0,0.0,0.004591621964625576,0.22994320710748212,0.002708637576645849,0.012803415977745444,0.22718476488231093,0.0025847091137917192,2.7,0.0
0.076,0.0,0.0,0.004980729403271668,0.23633051841602323,0.002780866757416772,0.01386945862809402,0.23349545279570838,0.0026483044418155553,2.7749999999999995,0.0
0.078,0.0,0.0,0.005391320039356876,0.2427178297245644,0.002852845203855513,0.014991753987557886,0.23980614070910594,0.0027112401849721432,2.8499999999999996,0.0
0.08,0.0,0.0,0.005823983697372882,0.2491051410331056,0.0029245658519249846,0.016171572099563745,0.24611682862250348,0.002773500895619347,2.925,0.0
0.082,0.0,0.0,0.0062793113652887325,0.25549245234164675,0.0029960216237312864,0.017410165359480374,0.25242751653590095,0.0028350713332360466,2.9999999999999996,0.0
0.084,0.0,0.0,0.006757895201568169,0.26187976365018795,0.0030672054274187904,0.018708768132744132,0.2587382044492985,0.002895936469077818,3.0749999999999997,0.0
0.08600000000000001,0.0,0.0,0.007260328540426414,0.2682670749587291,0.003138110157085931,0.020068596379216454,0.2650488923626961,0.0029560814907594233,3.15,0.0
0.088,0.0,0.0,0.007787205895292274,0.2746543862672703,0.0032087286927221267,0.02149084728390399,0.2713595802760936,0.003015491806762526,3.225,0.0
0.09,0.0,0.0,0.008339122960442305,0.28104169757581143,0.0032790539001662303,0.02297669889416981,0.2776702681894911,0.0030741530508670454,3.3,0.0
0.092,0.0,0.0,0.008916676610774645,0.2874290088843526,0.0033490786310869233,0.024527309763561624,0.2839809561028886,0.0031320510865046254,3.3749999999999996,0.0
0.094,0.0,0.0,0.00952046489969101,0.2938163201928938,0.0034187957229854294,0.02614381860238064,0.29029164401628615,0.003189172011032695,3.4499999999999997,0.0
0.096,0.0,0.0,0.010151087055056294,0.300203631501435,0.003488197999220928,0.027827343935112204,0.29660233192968366,0.0032455021599276366,3.525,0.0
0.098,0.0,0.0,0.010809143473206075,0.3065909428099761,0.003557278269059038,0.029578983764836808,0.30291301984308117,0.0033010281108956274,3.5999999999999996,0.0
0.1,0.0,0.0,0.011495235710973347,0.31297825411851726,0.0036260293277437347,0.03139981524473761,0.3092237077564787,0.003355736687899703,3.675,0.0
0.10200000000000001,0.0,0.0,0.0122099664757067,0.31936556542705846,0.0036944439565930218,0.03329089435681789,0.3155343956698763,0.003409614965101664,3.75,0.0
0.10400000000000001,0.0,0.0,0.012953939613253161,0.32575287673559966,0.0037625149231187154,0.035253255597939355,0.3218450835832738,0.0034626502707174713,3.825,0.0
0.106,0.0,0.0,0.013727760093879899,0.33214018804414086,0.0038302349811706526,0.03728791167328946,0.32815577149667136,0.0035148301907847843,3.9000000000000004,0.0
0.108,0.0,0.0,0.014532033996110005,0.3385274993526819,0.0038975968711056244,0.0393958531973832,0.33446645941006875,0.003566142572841352,3.974999999999999,0.0
0.11,0.0,0.0,0.015367368488448547,0.34491481066122315,0.003964593319981357,0.041578048402702156,0.34077714732346637,0.003616575529512998,4.05,0.0
0.112,0.0,0.0,0.016234371808976147,0.35130212196976424,0.004031217041775789,0.04383544285607062,0.3470878352368638,0.0036661174420099395,4.124999999999999,0.0
0.114,0.0,0.0,0.017133653242788385,0.35768943327830544,0.004097460737631952,0.046168959182866016,0.3533985231502614,0.0037147569635302895,4.199999999999999,0.0
0.116,0.0,0.0,0.018065823097260337,0.36407674458684663,0.004163317096128699,0.0485794967991578,0.3597092110636589,0.0037624830225695145,4.2749999999999995,0.0
0.11800000000000001,0.0,0.0,0.019031492675116682,0.3704640558953878,0.004228778793577529,0.0510679316518662,0.36601989897705645,0.003809284826134784,4.35,0.0
0.12,0.0,0.0,0.020031274245288843,0.376851367203929,0.004293838494345748,0.053635115967029155,0.37233058689045395,0.0038551518628630534,4.425,0.0
0.122,0.0,0.0,0.021065781011541725,0.3832386785124702,0.0043584888512061765,0.05628187800626307,0.3786412748038515,0.0039000739060418687,4.5,0.0
0.124,0.0,0.0,0.022135627078853755,0.3896259898210113,0.0044227225057136355,0.05900902183149957,0.3849519627172491,0.003944041016531832,4.575,0.0
0.126,0.0,0.0,0.02324142741753496,0.3960133011295525,0.004486532088608385,0.061817327078078015,0.3912626506306466,0.003987043545589764,4.65,0.0
0.128,0.0,0.0,0.024383797825068998,0.40240061243809366,0.0045499102202467044,0.06470754873626981,0.3975733385440441,0.0040290721375915925,4.725,0.0
0.13,0.0,0.0,0.025563354885666183,0.4087879237466348,0.0046128495110587895,0.06768041694130811,0.4038840264574416,0.004070117732654061,4.8,0.0
0.132,0.0,0.0,0.026780715927515648,0.415175235055176,0.004675342562034118,0.07073663677199286,0.41019471437083915,0.004110171569154372,4.875,0.0
0.134,0.0,0.0,0.02803649897772597,0.4215625463637172,0.004737381965234419,0.07387688805793846,0.41650540228423666,0.0041492251861469254,4.95,0.0
0.136,0.0,0.0,0.029331322714944708,0.4279498576722584,0.004798960304334389,0.07710182519552763,0.4228160901976342,0.004187270425676349,5.025,0.0
0.138,0.0,0.0,0.03066580641964849,0.43433716898079955,0.004860070155190258,0.08041207697263257,0.4291267781110318,0.004224299434986051,5.1000000000000005,0.0
0.14,0.0,0.0,0.03204056992209644,0.44072448028934075,0.0049207040864363075,0.08380824640216052,0.4354374660244293,0.00426030466862156,5.175000000000001,0.0
0.14200000000000002,0.0,0.0,0.0334562335479409,0.44711179159788195,0.004980854660109426,0.08729091056447832,0.44174815393782685,0.0042952788904279966,5.250000000000001,0.0
0.14400000000000002,0.0,0.0,0.03491341806149065,0.45349910290642304,0.005040514432301786,0.09086062045876685,0.4480588418512243,0.0043292151754409525,5.325,0.0
0.146,0.0,0.0,0.03641274460662285,0.45988641421496423,0.005099675953841683,0.09451790086335303,0.45436952976462186,0.00436210691167026,5.4,0.0
0.148,0.0,0.0,0.03795483464534139,0.46627372552350527,0.005158331771002589,0.09826325020506413,0.46068021767801925,0.004393947801775995,5.474999999999999,0.0
0.15,0.0,0.0,0.0395403098939802,0.47266103683204647,0.005216474426240461,0.10209714043764524,0.46699090559141676,0.004424731864636232,5.549999999999999,0.0
0.152,0.0,0.0,0.04116979225705158,0.4790483481405876,0.005274096458959289,0.1060200169292781,0.4733015935048143,0.004454453436806029,5.624999999999999,0.0
0.154,0.0,0.0,0.042843903758740615,0.4854356594491288,0.005331190406304927,0.11003229835923554,0.4796122814182119,0.004483107173867205,5.699999999999999,0.0
0.156,0.0,0.0,0.04456326647204801,0.49182297075767,0.005387748803987153,0.11413437662370302,0.4859229693316094,0.004510688051668486,5.7749999999999995,0.0
0.158,0.0,0.0,0.046328502445584896,0.4982102820662112,0.0054437641871299585,0.11832661675079478,0.49223365724500695,0.004537191367455647,5.85,0.0
0.16,0.0,0.0,0.04814023362802437,0.5045975933747524,0.00549922909115001,0.1226093568247896,0.49854434515840446,0.004562612740891317,5.925,0.0
0.162,0.0,0.0,0.04999908179021575,0.5109849046832935,0.005554136052663229,0.12698290791960665,0.5048550330718019,0.004586948114964148,5.999999999999999,0.0
0.164,0.0,0.0,0.051905668444968626,0.5173722159918347,0.005608477610419427,0.13144755404153985,0.5111657209851995,0.004610193756787115,6.074999999999999,0.0
0.166,0.0,0.0,0.05386061476451531,0.5237595273003759,0.005662246306264887,0.13600355208126455,0.517476408898597,0.004632346258284686,6.1499999999999995,0.0
0.168,0.0,0.0,0.05586454149566106,0.530146838608917,0.00571543468613282,0.14065113177512786,0.5237870968119945,0.00465340253676876,6.225,0.0
