t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma_close,input_sigma_adapt
0.02,0.0,0.0,1.4762102238999861e-06,0.022139557439898427,0.000132831008253017,1.7564470993038766e-05,0.021703285414487072,0.0001301442739169554,3.1846562250699896e-05,0.01742459000403981,0.00010441075161462198,1.5735011639743424e-06,0.022139557439898427,0.00013283058978537507,1.416976136277668e-05,0.02144292869568964,0.0001285967163291972,4.3033030274123275e-05,0.02144292869568964,0.0001284727338778284,5.551745810075346e-06,0.021703285414487072,0.0001301958697757997,7.4569236962588475e-06,0.017081228977349858,0.00010245535066700713,3.355953729140541e-05,0.016876319322215252,0.00010111376831718214,0.5760000000000001,0.0
0.022,0.0,0.0,1.995438078845078e-06,0.024599508266553806,0.00014758819233797943,2.3726098182397213e-05,0.0241147615716523,0.00014458318260395558,4.301518469320493e-05,0.019360655560044234,0.00011597285398676121,2.126643089974074e-06,0.024599508266553806,0.000147587608592339,1.914144796019301e-05,0.02382547632854404,0.0001428678394030876,5.81242623395058e-05,0.02382547632854404,0.0001426946597896195,7.499931330707183e-06,0.0241147615716523,0.00014465525895505335,1.0074214199644193e-05,0.018979143308166507,0.00011383011830682149,4.5328341370029016e-05,0.0187514659135725,0.00011230743825768658,0.64,0.0
0.024,0.0,0.0,2.624419347303307e-06,0.027059459093209184,0.00016234478193078203,3.118090261370644e-05,0.02652623772881753,0.0001590150697838108,5.652603042766418e-05,0.021296721116048654,0.0001275222355881327,2.796533678125945e-06,0.027059459093209184,0.00016234399470071526,2.515709777553691e-05,0.026208023961398444,0.0001571332950806295,7.638006418964813e-05,0.026208023961398444,0.00015689939819435363,9.85735208734859e-06,0.02652623772881753,0.00015911242678492093,1.324160474128105e-05,0.020877057638983156,0.0001252019005487011,5.956491710201014e-05,0.02062661250492975,0.00012348770498135832,0.704,0.0
0.026000000000000002,0.0,0.0,3.3738999814905513e-06,0.02951940991986457,0.0001771007130031036,4.0051730589059167e-05,0.028937713885982763,0.00017343919790021437,7.260086220021074e-05,0.02323278667205308,0.0001390575638497525,3.5945332152309706e-06,0.02951940991986457,0.00017709968031711867,3.2316098331336245e-05,0.02859057159425285,0.0001713924869788639,9.809994303727033e-05,0.02859057159425285,0.00017108514918037922,1.2663030562763694e-05,0.028937713885982763,0.0001735671392033725,1.7011677761670595e-05,0.022774971969799808,0.00013657038219035115,7.650278361093392e-05,0.022501759096287002,0.00013465316507510995,0.768,0.0
0.028,0.0,0.0,4.254707917225028e-06,0.03197936074651995,0.00019185592107923073,5.0461340693606455e-05,0.03134919004314799,0.0001878548298753536,9.14610776579476e-05,0.025168852228057505,0.00015057750819514378,4.5320694953448705e-06,0.03197936074651995,0.0001918545972798283,4.071782649282922e-05,0.030973119227107257,0.00018564481877265552,0.00012358288052160125,0.030973119227107257,0.00018525011570441993,1.595600260312514e-05,0.03134919004314799,0.00018801916207551137,2.1437069215102147e-05,0.02467288630061646,0.00014793524773712874,9.63750389021049e-05,0.02437690568764425,0.0001458024174241999,0.8320000000000001,0.0
0.03,0.0,0.0,5.277760480973114e-06,0.03443931157317533,0.0002066103411915486,6.253239582969998e-05,0.03376066620031322,0.00020226122915771767,0.00011332767639132414,0.027104917784061926,0.00016208074023842388,5.620643931631728e-06,0.03443931157317533,0.00020660867702207992,5.046164743152368e-05,0.03335566685996166,0.000199889694200813,0.00015312728528400822,0.03335566685996166,0.0001993925038766403,1.9775318638309168e-05,0.03376066620031322,0.00020246826118626058,2.6570473334294724e-05,0.02657080063143311,0.00015929618137330804,0.00011941432187379404,0.0262520522790015,0.00015693406344059638,0.896,0.0
0.032,0.0,0.0,6.454071784617838e-06,0.036899262399830705,0.0002213639078360984,7.63874552532856e-05,0.03617214235747845,0.00021665765976989248,0.00013842122703876223,0.02904098334006635,0.00017356593398205016,6.871837661491622e-06,0.036899262399830705,0.00022136185053539442,6.16469135707361e-05,0.03573821449281606,0.00021412651707230723,0.0001870309456383926,0.03573821449281606,0.00021351052324519233,2.4160044903633094e-05,0.03617214235747845,0.00021691420223304082,3.246464736830269e-05,0.028468714962249758,0.00017065286693349277,0.00014585277440714935,0.02812719887035875,0.00016804670729090974,0.96,0.0
0.034,0.0,0.0,7.794760106892674e-06,0.03935921322648609,0.00023611655492820885,9.214896661274537e-05,0.03858361851464368,0.0002310433863563424,0.00016696183445890123,0.030977048896070773,0.00018503176601419207,8.297317644378774e-06,0.03935921322648609,0.00023611404833294759,7.437296351156681e-05,0.03812076212567047,0.00022835469127259838,0.0002255909823445215,0.03812076212567047,0.00022760238708019248,2.9149264663155346e-05,0.03858361851464368,0.0002313567508184403,3.917241629139024e-05,0.03036662929306641,0.00018200498787418863,0.00017592200354155026,0.030002345461716002,0.00017913895612385312,1.024,0.0
0.036000000000000004,0.0,0.0,9.311055260425834e-06,0.041819164053141476,0.0002508682157582075,0.0001099392579903858,0.04099509467180892,0.000245417674231177,0.00019916910697581936,0.0329131144520752,0.0001964769157056978,9.908842751727052e-06,0.041819164053141476,0.00025086520041298256,8.873912093777377e-05,0.040503309758524876,0.00024257362077007987,0.00026910380149244763,0.040503309758524876,0.00024166631265708214,3.478207943465681e-05,0.04099509467180892,0.00024579567244287454,4.674667748058714e-05,0.03226454362388306,0.00019335222724555006,0.0002098530437421699,0.031877492053073254,0.00019020942029719022,1.088,0.0
0.038,0.0,0.0,1.1014305943342922e-05,0.044279114879796855,0.0002656188229472186,0.0001298805299467706,0.043406570828974145,0.0002597797894259026,0.00023526212370257734,0.03484918000807962,0.00020790006540662284,1.1718269848400032e-05,0.044279114879796855,0.00026561523622227077,0.00010484469349801375,0.04288585739137928,0.00025678270962264905,0.00031786504750614997,0.04288585739137928,0.000255700521539321,4.109761021642078e-05,0.043406570828974145,0.00026023073249723693,5.52404053596462e-05,0.034162457954699715,0.00020469426766331477,0.00024787631926649373,0.033752638644430503,0.00020125671360413,1.1520000000000001,0.0
